body_regime,task,metric,method,seed,value,body_init_seed,notes
imagenet_pretrained,caltech101,top1,noft,2026,0.7864352753674517,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,noft,2027,0.7485390472817425,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,noft,2028,0.7738622277315389,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,bp_current,2026,0.7901540641048345,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,bp_current,2027,0.7834248273419515,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,bp_current,2028,0.8002479192491588,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,fa_source,2026,0.7892686382149814,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,fa_source,2027,0.7830706569860103,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,fa_source,2028,0.8115813706392775,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,fa_random,2026,0.7958207897998938,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,fa_random,2027,0.7825394014520984,,P11 epoch-88 body
imagenet_pretrained,caltech101,top1,fa_random,2028,0.7866123605454224,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,noft,2026,0.8177751708182317,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,noft,2027,0.8106871861755592,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,noft,2028,0.8120493492121393,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,bp_current,2026,0.8410472869971339,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,bp_current,2027,0.8385276990355358,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,bp_current,2028,0.8410512121851337,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,fa_source,2026,0.8409644508535303,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,fa_source,2027,0.8381817353678017,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,fa_source,2028,0.8406257922331112,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,fa_random,2026,0.8427424615698726,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,fa_random,2027,0.8439842276029427,,P11 epoch-88 body
imagenet_pretrained,isic2016,miou,fa_random,2028,0.8416094242749947,,P11 epoch-88 body
imagenet_pretrained,lsp,pck_torso_0p2,noft,2026,0.5036428571428572,,P11 epoch-88 body
imagenet_pretrained,lsp,pck_torso_0p2,noft,2027,0.49907142857142855,,P11 epoch-88 body
imagenet_pretrained,lsp,pck_torso_0p2,noft,2028,0.5072857142857143,,P11 epoch-88 body
imagenet_pretrained,lsp,pck_torso_0p2,bp_current,2026,0.7082857142857143,,P11 epoch-88 body
imagenet_pretrained,lsp,pck_torso_0p2,bp_current,2027,0.7117142857142857,,P11 epoch-88 body
imagenet_pretrained,lsp,pck_torso_0p2,bp_current,2028,0.7151428571428572,,P11 epoch-88 body
imagenet_pretrained,lsp,pck_torso_0p2,fa_source,2026,0.7112857142857143,,P11 epoch-88 body
imagenet_pretrained,lsp,pck_torso_0p2,fa_source,2027,0.712,,P11 epoch-88 body
imagenet_pretrained,lsp,pck_torso_0p2,fa_source,2028,0.7128571428571429,,P11 epoch-88 body
