epoch,train_total,train_category,train_edit,train_preservation,train_task,train_ccd,train_router_balance,train_router_importance,train_router_hard_load,train_router_semantic_code,train_phase_dc,train_grad_norm,train_samples,train_epoch_seconds,train_language_alpha1,train_language_alpha2,train_vision_alpha1,train_vision_alpha2,test_samples,test_cell_accuracy,test_changed_cell_accuracy,test_foreground_category_accuracy,test_preserved_cell_accuracy,test_edit_grid_iou,test_object_f1,test_scene_exact_match,test_task_accuracy,learning_rate,test_router_accepted,test_language_router_max_share,test_vision_router_max_share,test_language_router_min_share,test_vision_router_min_share
1,3.7048950019836426,1.6822074064254762,1.5096933975219726,0.2262792594432831,0.6237443986073137,0.7427402084350586,1.2321297485351563,0.018573560905456542,0.3026937527656555,1.3774343755722045,0.9910426928520203,5.361687929534912,5000,33.537826523184776,0.5966743230819702,0.5966323018074036,0.595940351486206,0.5957643389701843,1000,0.9425277891755104,0.106,0.5747333407402039,0.9722764745950699,0.10086190476190483,0.6377686868686854,0.02,0.853,0.00029792949689103743,True,0.27950000762939453,0.28049999475479126,0.21950000524520874,0.21950000524520874
2,2.8803000190734864,1.2523097068786622,1.3286321182250977,0.14481287174224852,0.02148353076726198,0.7404252914428711,1.110410605430603,0.012041614532470704,0.0551687539100647,1.3484446006774902,0.972904961681366,5.297426853942871,5000,33.159945636987686,0.5949281454086304,0.5947134494781494,0.59068763256073,0.5900319814682007,,,,,,,,,,0.0002818577160989169,,,,,
3,2.682569221878052,1.1618967809677123,1.2333113521575927,0.13177290902137756,0.020411819037795067,0.71304243516922,1.1032370372772218,0.01085052833557129,0.04258125791549683,1.3311132604598999,0.9585021566390991,5.015809552001953,5000,31.79457251727581,0.5929290652275085,0.592704176902771,0.5871979594230652,0.5863420963287354,,,,,,,,,,0.00025150659377964614,,,,,
4,2.56076626663208,1.0896121660232545,1.183433642578125,0.12378829371929169,0.016537402775883673,0.7045947004318237,1.1053019544601441,0.010052292156219483,0.0491375075340271,1.3227281908035278,0.9462214088439942,5.322459014892578,5000,32.156423792243004,0.5903794765472412,0.589982271194458,0.5841744542121887,0.5835332870483398,,,,,,,,,,0.00021016296102776682,,,,,
5,2.455575677871704,1.0255375606536865,1.1474097738265991,0.11829524171352386,0.013545993772149085,0.7070223003387451,1.1014817974090576,0.008251172161102296,0.04393750762939453,1.3162578550338746,0.9360738401412964,4.571759578704834,5000,47.41149231046438,0.5881054997444153,0.5874866843223572,0.5814993977546692,0.5812467336654663,1000,0.9271666796803475,0.306,0.39276667243242264,0.9486285734772683,0.20656594239094256,0.44364052059052117,0.023,1.0,0.00016230406702901715,True,0.2750000059604645,0.26350000500679016,0.23250000178813934,0.2370000034570694
6,2.3644926441192626,0.9731669417381287,1.113391968536377,0.11371315948963165,0.01351554518043995,0.7030516817092896,1.0989963060379029,0.007063591289520264,0.03891874980926514,1.3076422616958618,0.9288897498130798,5.225583706665039,5000,47.288487046957016,0.5863611698150635,0.5855016112327576,0.579683780670166,0.57981276512146,,,,,,,,,,0.00011311272180573321,,,,,
7,2.2921817390441896,0.9308120615959168,1.0827987545013427,0.10895089628696442,0.012356323504447937,0.693940560913086,1.1006200092315674,0.0073832448959350585,0.042881256198883055,1.3051326889038086,0.9245012279510498,5.648457752990723,5000,31.30336621403694,0.5851579308509827,0.5842061638832092,0.5786272287368774,0.5789130330085754,,,,,,,,,,6.791603126725973e-05,,,,,
8,2.2306312873840333,0.9025671246528626,1.0552619089126587,0.10558629143238067,0.012047872902452945,0.688796848487854,1.0957728073120117,0.006820368194580078,0.03442500495910644,1.302256614303589,0.922267753124237,5.711044995117187,5000,31.476447701454163,0.5845481753349304,0.5835109949111938,0.5780454874038696,0.5784731507301331,,,,,,,,,,3.1608505945021514e-05,,,,,
9,2.1999058406829834,0.8857523159980774,1.0407306020736695,0.10339579858779907,0.011374056112766266,0.698100178527832,1.095783164215088,0.0061661372184753415,0.03628750524520874,1.3029986618041993,0.9214714919090271,5.797832861328125,5000,31.101870618760586,0.5843181014060974,0.5832458734512329,0.5778153538703918,0.5782888531684875,,,,,,,,,,8.122017021232691e-06,,,,,
10,2.1875195350646974,0.8788426966667175,1.0364209785461427,0.10317790846824645,0.011454152250289918,0.691827006149292,1.095181644630432,0.006290032005310059,0.03448125295639038,1.3023290157318115,0.9212424515724182,5.640159410095215,5000,31.36022175848484,0.5842808485031128,0.5832048654556274,0.5777788758277893,0.5782607793807983,1000,0.9284722335934639,0.36,0.4428666730225086,0.9489436994194984,0.24951515151515177,0.4896305694305706,0.037,1.0,0.0,True,0.27799999713897705,0.2549999952316284,0.23800000548362732,0.2460000067949295
