epoch,train_total,train_category,train_edit,train_preservation,train_task,train_ccd,train_router_balance,train_router_importance,train_router_hard_load,train_router_semantic_code,train_phase_dc,train_grad_norm,train_samples,train_epoch_seconds,train_language_alpha1,train_language_alpha2,train_vision_alpha1,train_vision_alpha2,test_samples,test_cell_accuracy,test_changed_cell_accuracy,test_foreground_category_accuracy,test_preserved_cell_accuracy,test_edit_grid_iou,test_object_f1,test_scene_exact_match,test_task_accuracy,learning_rate,test_router_accepted,test_language_router_max_share,test_vision_router_max_share,test_language_router_min_share,test_vision_router_min_share
1,4.95530114326477,2.2141532276153564,1.6015552066802978,0.2942789227724075,1.2494996758460999,0.7441370571136474,1.3677214179992676,0.01960152997970581,0.6072374836921692,1.3923423822402954,0.9984997458457947,4.936736896896362,5000,34.162883043289185,0.5990164279937744,0.5990583896636963,0.5992748141288757,0.599208414554596,1000,0.8275277812480927,0.0235,0.5126000070720911,0.8566663924455643,0.06857142857142876,0.3477516202751502,0.0,0.468,5.9999999999999995e-05,False,0.4465000033378601,0.5,0.032999999821186066,0.0
2,3.721306953430176,1.5893010179519653,1.4348480712890626,0.1771543481349945,0.21353618193864823,0.7418386512756348,1.1349760055541993,0.01482609920501709,0.09149374961853027,1.3666067127227783,0.9940732190132141,2.7236233638763427,5000,32.916081227362156,0.597780704498291,0.5977619886398315,0.5973173379898071,0.5972828269004822,,,,,,,,,,0.00011999999999999999,,,,,
3,3.5264640613555907,1.492922385597229,1.3803369874954223,0.16142165315151213,0.02944240889251232,0.7386536041259766,1.1266884426116943,0.013031822872161865,0.07758750247955322,1.3496730281829834,0.9905780714988709,9.710849220275879,5000,33.785501420497894,0.5971716046333313,0.5971200466156006,0.5949310064315796,0.5947771072387695,,,,,,,,,,0.00017999999999999998,,,,,
4,3.3613747928619384,1.4154623973846436,1.3182831092834473,0.1513537624359131,0.026578766199946403,0.7317810908317566,1.1189136180877686,0.012016231727600097,0.063668754196167,1.3452623863220214,0.9866277572631836,8.928190885925293,5000,32.615819588303566,0.5959030985832214,0.5957608819007874,0.5916520953178406,0.5911526083946228,,,,,,,,,,0.00023999999999999998,,,,,
5,3.1949135494232177,1.3312893581390381,1.2582744716644287,0.13873616557121277,0.033469477677345275,0.7358591650009155,1.113919239807129,0.010081061267852784,0.05408750343322754,1.3376165546417236,0.9794916571617126,10.065208825683595,5000,33.39373902231455,0.5935718417167664,0.5931254625320435,0.5881554484367371,0.5873172879219055,1000,0.9252500132322311,0.168,0.4889333399236202,0.9518042060732842,0.16782176434676407,0.5241638861138863,0.028,1.0,0.0003,True,0.28999999165534973,0.2840000092983246,0.2160000056028366,0.2160000056028366
6,3.0577256622314453,1.250796056175232,1.2150844966888428,0.13269495332241057,0.03336747795939445,0.7220754043579102,1.1111385660171509,0.008801853275299072,0.051825001525878905,1.3373907230377198,0.9686366642951966,9.07267603149414,5000,32.4496258944273,0.5901459455490112,0.5894240140914917,0.5836009979248047,0.5826319456100464,,,,,,,,,,0.0002999179886011389,,,,,
7,2.904962841415405,1.1574891597747803,1.1673793131828307,0.12440590549707413,0.026632070648670198,0.7000806646347046,1.1129517162322997,0.00965952033996582,0.0570125075340271,1.3346130527496338,0.9542140536308289,8.912038813781738,5000,32.78358505666256,0.5860016942024231,0.5846021771430969,0.5796236395835876,0.5789441466331482,,,,,,,,,,0.00029967204408281613,,,,,
8,2.746129094314575,1.05749709815979,1.1258360494613648,0.11638819916248322,0.021648961165547372,0.6913000122070313,1.1095513053894044,0.009498727130889893,0.04804375524520874,1.3321315996170044,0.9387930787086487,9.16291046295166,5000,32.59219108521938,0.5808123350143433,0.578910768032074,0.5756614804267883,0.5754501223564148,,,,,,,,,,0.0002992624353817517,,,,,
9,2.6020376110076904,0.9811198286056518,1.0710079740524292,0.10793396255970002,0.017830241420865058,0.6727200823783874,1.1141771793365478,0.010010870838165284,0.053962507820129395,1.3268858308792115,0.9251866131782531,8.671286470031738,5000,32.42620322108269,0.5753700733184814,0.5729766488075256,0.5715327262878418,0.5718538165092468,,,,,,,,,,0.00029868961039904624,,,,,
10,2.447685158920288,0.9002219696998596,1.0132385160446167,0.09997790007591248,0.014267339761555194,0.6703511911392211,1.1153475696563722,0.009812930202484131,0.05548125419616699,1.3222285900115966,0.9120283474922181,9.304010714721679,5000,32.151932932436466,0.5705786943435669,0.5677098035812378,0.5673960447311401,0.5685292482376099,1000,0.9250833434462548,0.4225,0.46446667267382147,0.9441260523796081,0.26710061327561335,0.4991702380952385,0.059,1.0,0.00029795419551040833,True,0.3034999966621399,0.27250000834465027,0.1850000023841858,0.22750000655651093
11,2.2947701171875,0.8188300657272339,0.9590089422225953,0.09325708104372024,0.011790859951078892,0.6667285515785217,1.1120761283874512,0.009484340000152587,0.051762509346008304,1.319818161201477,0.8990783192634583,9.112655654907227,5000,32.45626199990511,0.5659802556037903,0.5627514719963074,0.5632067918777466,0.5652276873588562,,,,,,,,,,0.0002970569948812214,,,,,
12,2.144394926071167,0.75294544506073,0.8939977907180786,0.08396520779132843,0.010855242417752743,0.6675021181106567,1.1102796852111816,0.008436410522460937,0.049156247520446776,1.3179040721893311,0.8873432585716248,10.296594616699219,5000,33.394022814929485,0.561402440071106,0.5581930875778198,0.5591772794723511,0.5619214773178101,,,,,,,,,,0.0002959989895872009,,,,,
13,1.98094107131958,0.6847738237380981,0.8178507743835449,0.07215131596326828,0.01136612285375595,0.6624626570701599,1.112431798171997,0.010264626502990723,0.05195626106262207,1.3176882383346558,0.8772655680656433,10.175795518493652,5000,32.587959446012974,0.5571881532669067,0.5538583993911743,0.5553401708602905,0.558704674243927,,,,,,,,,,0.0002947813365416023,,,,,
14,1.788637479019165,0.6174555042266846,0.7209935831069947,0.06018010531663895,0.010450107914209366,0.6532104175567627,1.1110499055862426,0.011598805427551269,0.04860000963211059,1.315927502632141,0.8671474390029907,10.54022498779297,5000,32.390383027493954,0.5525399446487427,0.5493901371955872,0.5517535209655762,0.5554459095001221,,,,,,,,,,0.0002934053672301536,,,,,
15,1.6217613967895508,0.557126963710785,0.63853837890625,0.04977176197767258,0.009453895468264818,0.6495522201538086,1.108589326286316,0.009573859405517578,0.04678125171661377,1.3116568218231202,0.8584232732772827,11.237025427246094,5000,32.38444206863642,0.5485058426856995,0.5449647307395935,0.5483479499816895,0.5523034334182739,1000,0.955333339869976,0.63,0.6949166736155749,0.9680092459917069,0.45798769841269704,0.7249238483738476,0.247,1.0,0.00029187258625509513,True,0.30000001192092896,0.28349998593330383,0.20550000667572021,0.21649999916553497
16,1.4813418378829957,0.5075492999076844,0.5671493412017822,0.04211093404591083,0.009100968143343926,0.6509373661994934,1.10783836517334,0.009165695285797118,0.04628125133514404,1.3107603965759278,0.8500717593193055,11.618455932617188,5000,32.59749987721443,0.5449434518814087,0.5413403511047363,0.5449379682540894,0.549106776714325,,,,,,,,,,0.0002901846696899191,,,,,
17,1.3653492311477662,0.4627110125541687,0.5082462420463562,0.03654266783595085,0.008622264750301837,0.6475297778129577,1.1119264919281007,0.010062166118621827,0.05211251087188721,1.31175954246521,0.8436575458526612,12.856334106445313,5000,32.2715769931674,0.541343629360199,0.5379905104637146,0.5419543385505676,0.5462266802787781,,,,,,,,,,0.0002883434632466077,,,,,
18,1.2435502401351928,0.41367095346450805,0.45268892555236817,0.03174114482402802,0.008437454928457737,0.6472142299652099,1.107257974052429,0.00911852445602417,0.048668754196166994,1.3080450283050538,0.837557091808319,12.477183834838867,5000,31.93916368484497,0.537940502166748,0.5348218679428101,0.5391900539398193,0.543415904045105,,,,,,,,,,0.00028635098025737434,,,,,
19,1.167150618648529,0.3816187431812286,0.4146919376373291,0.028295617762207986,0.008427272977679968,0.6489549932479859,1.1105470180511474,0.009260533332824707,0.055275007820129396,1.308618839263916,0.8315806493759156,12.999788119506835,5000,32.71479297429323,0.5344113111495972,0.5314077138900757,0.5362601280212402,0.5405431985855103,,,,,,,,,,0.0002842093994731145,,,,,
20,1.0560583889007569,0.33330500564575194,0.3688215226173401,0.024668115547299384,0.00725424363091588,0.6467996986389161,1.1057523984909057,0.00811919059753418,0.045818749237060544,1.3135763664245605,0.8257287287712097,12.343760040283204,5000,31.9850652217865,0.5313314199447632,0.5284074544906616,0.5335429310798645,0.537929892539978,1000,0.9743611149191856,0.7855,0.8560833379328251,0.982046221792698,0.675201190476191,0.8637752469752459,0.479,1.0,0.00028192106268097334,True,0.30000001192092896,0.2630000114440918,0.1850000023841858,0.2345000058412552
21,0.9720904256820678,0.2983197271347046,0.33059396047592166,0.02148214704692364,0.006082056590914727,0.6520196055412293,1.1037930019378661,0.007609249305725097,0.04511250295639038,1.3121623151779174,0.820487414264679,12.769923527526856,5000,32.54856512695551,0.5288201570510864,0.5258587002754211,0.5311015844345093,0.535321831703186,,,,,,,,,,0.0002794884721436361,,,,,
22,0.9090669174194336,0.2703381779432297,0.2991360146522522,0.01916994572877884,0.005867930517345667,0.651424870300293,1.1074911514282226,0.008596138381958008,0.05347500333786011,1.313057550239563,0.8157615375518799,12.314520861816407,5000,32.13202700763941,0.5262607336044312,0.5232819318771362,0.5285449624061584,0.5328999757766724,,,,,,,,,,0.0002769142878631403,,,,,
23,0.8396799871444702,0.24021966171264647,0.2715860818386078,0.016766601091623305,0.005264462651312351,0.6435994080543518,1.1027912202835084,0.00801660385131836,0.04639375600814819,1.3103106302261354,0.8113973647117615,13.504243389892578,5000,32.54241372644901,0.5241031646728516,0.5212223529815674,0.5262513160705566,0.5306544303894043,,,,,,,,,,0.000274201324672203,,,,,
24,0.782626644039154,0.21992604451179504,0.2445657458782196,0.015220439201593399,0.004904741008579731,0.6508935190200805,1.1011893440246583,0.007318994140625,0.04183125247955322,1.306521332359314,0.8071979852676392,11.86003275604248,5000,33.78767402470112,0.5217694044113159,0.5190350413322449,0.523751437664032,0.528270959854126,,,,,,,,,,0.0002713525491562421,,,,,
25,0.7449898042678833,0.19970498423576355,0.22949227175712586,0.014095208787918092,0.004229395416378975,0.648397819519043,1.1021917686462401,0.0071038098335266114,0.04516875400543213,1.306417077255249,0.8024983059883117,12.020021350097656,5000,33.778672233223915,0.5195164084434509,0.5169711112976074,0.5213478803634644,0.5257430672645569,1000,0.9835277799963951,0.838,0.9156333367675543,0.9895243731737137,0.7832333333333332,0.9171648906648899,0.627,1.0,0.00026837107640945905,True,0.28949999809265137,0.26100000739097595,0.21150000393390656,0.23899999260902405
26,0.6918753913879394,0.1792050137281418,0.20324349341392517,0.012731238490343093,0.003644297233968973,0.6505964386940002,1.1017463813781738,0.006628592491149902,0.04634375400543213,1.3055752143859862,0.7979947366714477,11.620425050354005,5000,33.94880595803261,0.51752108335495,0.5151832103729248,0.5190836787223816,0.5235552787780762,,,,,,,,,,0.00026526016662852886,,,,,
27,0.6538221144676208,0.16075297458171844,0.18695662174224853,0.01173558338880539,0.0031738540502265094,0.6509130350112915,1.1028892166137696,0.006711461639404297,0.047550001525878904,1.3080641948699951,0.7936709600448608,11.987200358581543,5000,34.81759728491306,0.5158496499061584,0.5135647058486938,0.5169683694839478,0.5213198661804199,,,,,,,,,,0.0002620232215476231,,,,,
28,0.6227003924369812,0.14511040353775023,0.17671885289251804,0.010614867143705487,0.002855756179243326,0.6508985823631287,1.0991523139953614,0.007317768096923828,0.04346874485015869,1.3060627445220947,0.7910420108795166,12.50379648513794,5000,34.40203658491373,0.5140932202339172,0.5119559168815613,0.514915943145752,0.5193725824356079,,,,,,,,,,0.00025866378071866334,,,,,
29,0.6011143260002136,0.1385033135294914,0.16498626331090926,0.009773710744827985,0.0028180303860455753,0.6445846799850464,1.1011574665069581,0.006446265411376953,0.04393125104904175,1.3024725540161133,0.7885243328094482,12.655035063171386,5000,32.89373353868723,0.5123434066772461,0.5101591348648071,0.512913167476654,0.5175103545188904,,,,,,,,,,0.00025518551764087326,,,,,
30,0.5755381523132325,0.12506835213899611,0.1536637725353241,0.009476885026693345,0.0025849738758057356,0.6512848594665527,1.102256044769287,0.006479799461364746,0.04830625162124634,1.2991781600952148,0.7849571738243103,10.836460580444337,5000,32.279689840972424,0.5107885003089905,0.5085071325302124,0.5107405781745911,0.5155207514762878,1000,0.9878055559396743,0.8715,0.9403500028550625,0.9925243731737137,0.8393166666666664,0.9396486513486512,0.696,1.0,0.00025159223574386114,True,0.2694999873638153,0.2549999952316284,0.2345000058412552,0.23899999260902405
31,0.5384141333580017,0.11030807384252549,0.13698384861946106,0.008218603299185634,0.0022486385714262725,0.6526626409530639,1.1005236724853515,0.006218452930450439,0.04612500171661377,1.298570358657837,0.7820652918815613,10.521092196655273,5000,33.258393444120884,0.5093283653259277,0.5070695281028748,0.5087233781814575,0.5134865641593933,,,,,,,,,,0.00024788786422862526,,,,,
32,0.5284639113903046,0.10630052765607834,0.13316289016008376,0.00792520345300436,0.002093784654373303,0.6458284112930298,1.0994503025054931,0.00563562707901001,0.043868752670288086,1.3016248895645142,0.7785870047569274,10.562024923706055,5000,32.66765860468149,0.5074729919433594,0.5052599906921387,0.5066033601760864,0.5114554762840271,,,,,,,,,,0.00024407645377103054,,,,,
33,0.5045975130081177,0.09572101866006852,0.12302608301639557,0.007234869671612978,0.0016825668152421712,0.654778614807129,1.098160828781128,0.0050579742431640625,0.04392500343322754,1.296470383453369,0.7766319701194763,9.930237585449218,5000,32.74039451777935,0.5060255527496338,0.5037687420845032,0.5046908259391785,0.509608268737793,,,,,,,,,,0.00024016217209245374,,,,,
34,0.4781197772026062,0.08627855755090713,0.10931835217475891,0.006367538122832775,0.0015234462702646851,0.6527357471466064,1.098457851600647,0.005742310333251953,0.044212501525878904,1.2970083126068115,0.7731454634666443,10.587636951446534,5000,32.033141411840916,0.504650890827179,0.5023839473724365,0.503203809261322,0.5081049203872681,,,,,,,,,,0.0002361492994024415,,,,,
35,0.4695350754261017,0.08138852189779282,0.10841545851230622,0.006168006076291204,0.0014210860785096883,0.6494632936477661,1.0971009922027588,0.005437412357330322,0.04003750123977661,1.2946960521697999,0.7704747042655945,10.973781880950927,5000,32.80476298928261,0.5031701922416687,0.5009185075759888,0.5014480352401733,0.5064453482627869,1000,0.9903055560588837,0.888,0.9525500020682812,0.9944697511196137,0.8741166666666665,0.9508335997335996,0.756,1.0,0.00023204222371836405,True,0.26750001311302185,0.2515000104904175,0.2329999953508377,0.24799999594688416
36,0.4463782293319702,0.07502756721973419,0.09378447779417037,0.005426169003290124,0.001364502190798521,0.6535973499298096,1.0983933776855468,0.006152747535705567,0.04312499990463257,1.2928039865493774,0.7680940166473389,10.202016078948974,5000,32.178694151341915,0.501958429813385,0.4997131824493408,0.4996947944164276,0.5047822594642639,,,,,,,,,,0.00022784543606718227,,,,,
37,0.4271520996570587,0.06842247239947319,0.08722276830673217,0.004802067323029041,0.0009279691397212446,0.6540622056007386,1.094293690109253,0.005297670841217041,0.035243753242492674,1.2934687902450561,0.7647968561172486,10.283527334594726,5000,33.172376446425915,0.5008124113082886,0.4986507296562195,0.4978902041912079,0.5031495094299316,,,,,,,,,,0.0002235635255745762,,,,,
38,0.41609894971847533,0.06287294599711896,0.07997243099808693,0.004325471568293869,0.0009630876645445824,0.652311025428772,1.0967704193115235,0.00580969877243042,0.043668755340576175,1.2855029373168945,0.7618436976432801,10.015746817016602,5000,32.72230086475611,0.4998549818992615,0.4975639283657074,0.49637123942375183,0.501675009727478,,,,,,,,,,0.00021920117444680317,,,,,
39,0.4004290074825287,0.054465566742420195,0.07448287698328496,0.0038684426923282444,0.001018469578679651,0.6439584676742554,1.0971215923309325,0.005827161312103271,0.0434812575340271,1.2844500499725342,0.7604822350502014,9.94330454711914,5000,32.71381639689207,0.498915433883667,0.4965851306915283,0.49498194456100464,0.5002008676528931,,,,,,,,,,0.0002147631528507739,,,,,
40,0.38748464789390563,0.053480445903539654,0.06669690831899643,0.0033346474368125202,0.0006364031359320507,0.6457069038391113,1.097163821220398,0.00645628080368042,0.03937500228881836,1.2828950870513915,0.7593475409507752,9.70494525756836,5000,33.14054910838604,0.49785202741622925,0.4955727458000183,0.49368369579315186,0.4988347291946411,1000,0.9922222216129303,0.8895,0.955150002002716,0.9966655486822128,0.8859833333333331,0.9597819291819296,0.779,1.0,0.0002102543136979454,True,0.2824999988079071,0.25600001215934753,0.2280000001192093,0.24500000476837158
41,0.37934600210189817,0.05186186137199402,0.061952443408966065,0.003195365847181529,0.0008374871988547966,0.6442186195373535,1.096480439376831,0.006466549873352051,0.04008124628067017,1.2743275831222534,0.7576869678497314,9.459094715118407,5000,33.498876221477985,0.4970000088214874,0.4947771430015564,0.49231773614883423,0.4974762201309204,,,,,,,,,,0.0002056795873377331,,,,,
