host_time_unix,host_monotonic_s,phase,watts
1788928356.4122014,45100308.89507011,idle,38.04
1788928356.4622908,45100308.945158154,idle,39.03
1788928356.512467,45100308.99533434,idle,39.03
1788928356.5626638,45100309.04553135,idle,38.03
1788928356.6128604,45100309.095728055,idle,38.03
1788928356.6630518,45100309.14591981,idle,37.94
1788928356.7132509,45100309.19611856,idle,37.94
1788928356.7634451,45100309.24631288,idle,38.13
1788928356.8136358,45100309.29650342,idle,38.13
1788928356.8638296,45100309.34669683,idle,37.84
1788928356.9140275,45100309.39689499,idle,37.84
1788928356.9642267,45100309.44709423,idle,37.94
1788928357.0144293,45100309.49729707,idle,37.94
1788928357.0646253,45100309.54749261,idle,37.94
1788928357.114822,45100309.59768935,idle,38.04
1788928357.165015,45100309.647882655,idle,38.04
1788928357.2152102,45100309.69807771,idle,38.04
1788928357.265412,45100309.748279706,idle,38.04
1788928357.3156104,45100309.79847786,idle,38.03
1788928357.3658195,45100309.84868682,idle,37.94
1788928357.416016,45100309.8988837,idle,37.94
1788928357.4662125,45100309.94907998,idle,37.94
1788928357.516408,45100309.999275595,idle,38.03
1788928357.566615,45100310.04948251,idle,38.03
1788928357.6168168,45100310.09968408,idle,37.94
1788928357.667011,45100310.14987848,idle,37.94
1788928357.7172291,45100310.20009648,idle,38.13
1788928357.767395,45100310.250262454,idle,38.13
1788928357.817541,45100310.30040824,idle,38.13
1788928357.86773,45100310.35059728,idle,38.13
1788928357.917924,45100310.400791295,idle,38.04
1788928357.968121,45100310.45098867,idle,38.04
1788928358.0183227,45100310.501190126,idle,38.13
1788928358.0685225,45100310.551390074,idle,38.13
1788928358.1187148,45100310.601582415,idle,38.04
1788928358.1689103,45100310.65177774,idle,38.04
1788928358.2191029,45100310.70197058,idle,38.23
1788928358.2693431,45100310.752210625,idle,38.23
1788928358.3195102,45100310.80237766,idle,38.15
1788928358.8207312,45100311.303599626,active:0,38.22
1788928358.8708296,45100311.35369718,active:0,38.04
1788928358.9209864,45100311.40385408,active:0,38.04
1788928358.971102,45100311.45396916,active:0,38.04
1788928359.0212655,45100311.504132785,active:0,38.04
1788928359.0714777,45100311.55434499,active:0,38.34
1788928359.1216226,45100311.6044892,active:0,38.34
1788928359.1717837,45100311.65465116,active:0,38.43
1788928359.2220247,45100311.70489294,active:0,38.43
1788928359.272242,45100311.755110875,active:0,38.13
1788928359.3224623,45100311.80532943,active:0,38.13
1788928359.3726928,45100311.85556017,active:0,71.26
1788928359.4229157,45100311.90578318,active:0,71.26
1788928359.4731255,45100311.95599304,active:0,38.13
1788928360.025228,45100312.50809594,active:1,38.03
1788928360.4265807,45100312.90944904,active:2,38.13
