phase,host_time_unix,watts,utilization_percent,memory_used_mib
idle,1788792092.3376215,67.43,0.0,4501.0
idle,1788792092.3878562,62.58,0.0,4501.0
idle,1788792092.4381793,62.58,0.0,4501.0
idle,1788792092.4884572,59.9,0.0,4501.0
idle,1788792092.5387783,59.9,0.0,4501.0
idle,1788792092.589025,60.0,0.0,4501.0
idle,1788792092.6393268,60.0,0.0,4501.0
idle,1788792092.6895158,60.0,0.0,4501.0
idle,1788792092.7398136,60.0,0.0,4501.0
idle,1788792092.7900429,60.1,0.0,4501.0
idle,1788792092.840315,60.1,0.0,4501.0
idle,1788792092.8905983,59.9,0.0,4501.0
idle,1788792092.9408734,59.9,0.0,4501.0
idle,1788792092.9911325,59.9,0.0,4501.0
idle,1788792093.0414166,59.9,0.0,4501.0
idle,1788792093.0916965,59.9,0.0,4501.0
idle,1788792093.1419797,60.0,0.0,4501.0
idle,1788792093.1922429,60.0,0.0,4501.0
idle,1788792093.2425218,60.0,0.0,4501.0
idle,1788792093.2928014,60.0,0.0,4501.0
idle,1788792093.3430865,59.81,0.0,4501.0
idle,1788792093.3933957,60.0,0.0,4501.0
idle,1788792093.4768536,60.0,0.0,4501.0
idle,1788792093.574412,60.6,0.0,4501.0
idle,1788792093.8637857,60.03,0.0,4501.0
idle,1788792093.91403,60.03,0.0,4501.0
idle,1788792093.9642875,67.43,0.0,4501.0
idle,1788792094.0145533,67.43,0.0,4501.0
idle,1788792094.0648313,60.39,0.0,4501.0
active:batch0:size16,1788792094.1654208,60.01,0.0,4677.0
active:batch0:size16,1788792094.2159083,60.01,0.0,4877.0
active:batch0:size16,1788792094.2661138,60.79,7.0,4881.0
active:batch0:size16,1788792094.3188796,60.79,7.0,5087.0
active:batch0:size16,1788792094.3668666,64.07,7.0,5137.0
active:batch0:size16,1788792094.4173481,64.07,7.0,5385.0
active:batch0:size16,1788792094.4674869,64.07,7.0,5393.0
active:batch0:size16,1788792094.5178444,64.07,10.0,5395.0
active:batch0:size16,1788792094.568106,92.45,10.0,6283.0
active:batch0:size16,1788792094.6183743,92.45,10.0,6283.0
active:batch0:size16,1788792094.6686625,92.45,10.0,6283.0
active:batch0:size16,1788792094.718948,92.45,11.0,6283.0
active:batch0:size16,1788792094.7692387,269.48,11.0,6283.0
active:batch0:size16,1788792094.8195646,269.48,11.0,6577.0
active:batch0:size16,1788792094.8698611,263.82,11.0,6577.0
active:batch0:size16,1788792094.9202437,263.82,90.0,6577.0
active:batch0:size16,1788792094.9704888,59.73,90.0,6577.0
active:batch0:size16,1788792095.0548139,59.73,90.0,6577.0
active:batch2:size16,1788792095.652214,113.39,55.0,6577.0
active:batch2:size16,1788792095.7023711,113.39,55.0,6577.0
active:batch2:size16,1788792095.752646,88.65,90.0,6577.0
active:batch2:size16,1788792095.8028507,88.65,90.0,6577.0
active:batch2:size16,1788792095.8531504,261.17,90.0,6577.0
active:batch2:size16,1788792095.9034107,261.17,66.0,6577.0
active:batch2:size16,1788792095.9536242,250.58,66.0,6577.0
active:batch2:size16,1788792096.0039034,250.58,66.0,6577.0
active:batch2:size16,1788792096.0541143,257.47,93.0,6577.0
active:batch3:size16,1788792096.1546314,178.78,93.0,6577.0
active:batch3:size16,1788792096.2049143,178.78,93.0,6577.0
active:batch3:size16,1788792096.2552493,136.75,93.0,6577.0
