phase,host_time_unix,watts,utilization_percent,memory_used_mib
idle,1788791246.4669774,65.49,0.0,4883.0
idle,1788791246.5173438,65.49,0.0,4883.0
idle,1788791246.5677314,65.49,0.0,4883.0
idle,1788791246.6180398,62.05,0.0,4883.0
idle,1788791246.6682801,62.05,0.0,4883.0
idle,1788791246.718686,62.03,0.0,4883.0
idle,1788791246.768967,62.03,0.0,4883.0
idle,1788791246.8192506,61.96,0.0,4883.0
idle,1788791246.86955,61.96,0.0,4883.0
idle,1788791246.9198456,61.93,0.0,4883.0
idle,1788791246.970079,61.93,0.0,4883.0
idle,1788791247.0204415,61.96,0.0,4883.0
idle,1788791247.0707679,61.96,0.0,4883.0
idle,1788791247.1210532,61.76,0.0,4883.0
idle,1788791247.1713471,61.76,0.0,4883.0
idle,1788791247.2215629,61.76,0.0,4883.0
idle,1788791247.2719386,61.74,0.0,4883.0
idle,1788791247.3221824,62.05,0.0,4883.0
idle,1788791247.3725426,62.05,0.0,4883.0
idle,1788791247.4228609,62.05,0.0,4883.0
idle,1788791247.47321,61.76,0.0,4883.0
idle,1788791247.5233319,61.85,0.0,4883.0
idle,1788791247.6079476,61.85,0.0,4883.0
idle,1788791247.6582882,63.63,0.0,4883.0
idle,1788791247.7103734,63.63,0.0,4883.0
idle,1788791248.00319,61.64,0.0,4883.0
active:b2:trial0,1788791248.0534275,68.88,0.0,4883.0
active:b2:trial0,1788791248.103729,68.88,0.0,4883.0
active:b2:trial1,1788791248.154473,109.73,0.0,4883.0
active:b2:trial1,1788791248.2044735,109.73,16.0,4883.0
active:b2:trial1,1788791248.254812,109.73,16.0,4883.0
active:b2:trial2,1788791248.3050787,195.47,16.0,4883.0
active:b2:trial3,1788791248.355385,195.47,16.0,4883.0
active:b2:trial4,1788791248.4056308,166.36,59.0,4883.0
active:b2:trial4,1788791248.455957,166.36,59.0,4883.0
active:b2:trial5,1788791248.506318,219.45,59.0,4883.0
active:b2:trial6,1788791248.5565886,219.45,59.0,4883.0
active:b2:trial7,1788791248.6068006,250.76,59.0,4883.0
active:b2:trial7,1788791248.6570697,250.76,83.0,4883.0
active:b2:trial8,1788791248.7073758,250.76,83.0,4883.0
active:b2:trial9,1788791248.7576978,222.47,84.0,4883.0
active:b2:trial10,1788791248.8078854,222.47,84.0,4883.0
active:b2:trial10,1788791248.8582318,217.32,84.0,4883.0
active:b2:trial11,1788791248.9084415,217.32,84.0,4883.0
active:b2:trial12,1788791248.958682,234.57,84.0,4883.0
active:b2:trial13,1788791249.0089278,234.57,84.0,4883.0
active:b2:trial13,1788791249.0591397,241.75,84.0,4883.0
active:b2:trial14,1788791249.109706,241.75,84.0,4883.0
active:b2:trial15,1788791249.184228,242.46,84.0,4883.0
active:b2:trial16,1788791249.237338,242.46,84.0,4883.0
active:b2:trial17,1788791249.2897053,243.49,84.0,4883.0
active:b2:trial18,1788791249.3435566,246.79,84.0,4883.0
active:b2:trial24,1788791249.7333086,246.79,84.0,4883.0
active:b2:trial24,1788791249.783484,246.79,83.0,4883.0
active:b2:trial25,1788791249.8337276,246.79,83.0,4883.0
active:b2:trial26,1788791249.8840778,249.52,83.0,4883.0
active:b2:trial27,1788791249.934446,248.83,83.0,4883.0
active:b2:trial28,1788791249.9847004,248.83,81.0,4883.0
active:b2:trial28,1788791250.0349336,248.83,81.0,4883.0
active:b2:trial29,1788791250.0852156,236.72,81.0,4883.0
