phase,host_time_unix,watts,utilization_percent,memory_used_mib
idle,1788855229.2541463,61.09,0.0,4501.0
idle,1788855229.3044014,61.09,0.0,4501.0
idle,1788855229.3546667,61.09,0.0,4501.0
idle,1788855229.4049895,60.69,0.0,4501.0
idle,1788855229.4553173,60.69,0.0,4501.0
idle,1788855229.5056891,60.78,0.0,4501.0
idle,1788855229.5560007,60.78,0.0,4501.0
idle,1788855229.6063137,60.48,0.0,4501.0
idle,1788855229.6566734,60.48,0.0,4501.0
idle,1788855229.7070124,60.67,0.0,4501.0
idle,1788855229.7573895,60.67,0.0,4501.0
idle,1788855229.8076766,60.69,0.0,4501.0
idle,1788855229.8579664,60.69,0.0,4501.0
idle,1788855229.9083645,61.17,0.0,4501.0
idle,1788855229.9586964,61.17,0.0,4501.0
idle,1788855230.009021,60.59,0.0,4501.0
idle,1788855230.0593016,60.59,0.0,4501.0
idle,1788855230.1096528,60.88,0.0,4501.0
idle,1788855230.1598701,60.88,0.0,4501.0
idle,1788855230.2101865,60.67,0.0,4501.0
idle,1788855230.2605264,60.67,0.0,4501.0
idle,1788855230.3562145,60.69,0.0,4501.0
idle,1788855230.4492464,61.67,0.0,4501.0
idle,1788855230.7443347,61.29,0.0,4501.0
idle,1788855230.79464,61.29,0.0,4501.0
idle,1788855230.8450232,60.78,0.0,4501.0
idle,1788855230.8953695,60.78,0.0,4501.0
idle,1788855230.9455051,60.78,0.0,4501.0
idle,1788855230.99582,60.68,0.0,4501.0
idle,1788855231.0460696,60.69,0.0,4501.0
idle,1788855231.0963209,60.69,0.0,4501.0
idle,1788855231.146565,60.69,0.0,4501.0
idle,1788855231.1969166,60.69,0.0,4501.0
active:batch0:size2,1788855231.2472167,60.69,0.0,4541.0
active:batch0:size2,1788855231.297569,60.98,0.0,4543.0
active:batch0:size2,1788855231.347877,62.76,0.0,4621.0
active:batch0:size2,1788855231.3982537,62.76,0.0,4621.0
active:batch0:size2,1788855231.4485586,61.38,0.0,4655.0
active:batch0:size2,1788855231.498924,61.38,7.0,4655.0
active:batch0:size2,1788855231.5492907,61.38,7.0,4673.0
active:batch0:size2,1788855231.5995958,61.09,7.0,4701.0
active:batch0:size2,1788855231.6498861,61.09,7.0,4705.0
active:batch0:size2,1788855231.7002738,61.17,2.0,4845.0
