phase,host_time_unix,watts,utilization_percent,memory_used_mib
idle,1788874988.1725914,52.14,0.0,4501.0
idle,1788874988.2229848,52.14,0.0,4501.0
idle,1788874988.2732532,52.14,0.0,4501.0
idle,1788874988.3235602,52.3,0.0,4501.0
idle,1788874988.3738258,52.3,0.0,4501.0
idle,1788874988.4241326,52.11,0.0,4501.0
idle,1788874988.4743836,52.11,0.0,4501.0
idle,1788874988.5247045,38.99,0.0,4501.0
idle,1788874988.5750575,38.99,0.0,4501.0
idle,1788874988.6253362,38.29,0.0,4501.0
idle,1788874988.6756322,38.29,0.0,4501.0
idle,1788874988.7258973,38.48,0.0,4501.0
idle,1788874988.7762482,38.48,0.0,4501.0
idle,1788874988.826563,38.48,0.0,4501.0
idle,1788874988.8768501,38.48,0.0,4501.0
idle,1788874988.9295535,38.77,0.0,4501.0
idle,1788874988.979836,38.77,0.0,4501.0
idle,1788874989.030289,39.07,0.0,4501.0
idle,1788874989.0805438,39.07,0.0,4501.0
idle,1788874989.1309159,38.58,0.0,4501.0
idle,1788874989.1812003,38.58,0.0,4501.0
idle,1788874989.2314832,38.58,0.0,4501.0
idle,1788874989.2817876,38.8,0.0,4501.0
idle,1788874989.332122,38.8,0.0,4501.0
idle,1788874989.3824346,38.57,0.0,4501.0
idle,1788874989.4326427,38.57,0.0,4501.0
idle,1788874989.482914,38.39,0.0,4501.0
idle,1788874989.5332742,38.39,0.0,4501.0
idle,1788874989.5836098,38.58,0.0,4501.0
idle,1788874989.6338453,38.58,0.0,4501.0
idle,1788874989.6841223,38.58,0.0,4501.0
idle,1788874989.734423,38.38,0.0,4501.0
idle,1788874989.7847688,38.48,0.0,4501.0
idle,1788874989.8351014,38.48,0.0,4501.0
idle,1788874989.8854694,38.48,0.0,4501.0
idle,1788874989.935716,38.67,0.0,4501.0
idle,1788874989.9860075,38.68,0.0,4501.0
idle,1788874990.0367506,38.68,0.0,4501.0
idle,1788874990.1079788,39.18,0.0,4501.0
active:batch0:size2,1788874990.634096,38.46,0.0,4541.0
active:batch0:size2,1788874990.6844847,63.54,0.0,4617.0
active:batch0:size2,1788874990.734672,63.54,0.0,4621.0
active:batch0:size2,1788874990.784904,59.96,0.0,4621.0
active:batch0:size2,1788874990.8351238,59.96,0.0,4655.0
active:batch0:size2,1788874990.8854501,60.6,0.0,4655.0
active:batch0:size2,1788874990.9357803,60.6,6.0,4655.0
active:batch0:size2,1788874990.986165,60.6,6.0,4659.0
active:batch0:size2,1788874991.0364387,60.71,6.0,4673.0
active:batch0:size2,1788874991.0867527,61.39,6.0,4701.0
active:batch0:size2,1788874991.1370609,61.39,1.0,4701.0
active:batch0:size2,1788874991.1873696,61.39,1.0,4705.0
active:batch0:size2,1788874991.2376082,60.21,1.0,4845.0
