phase,host_time_unix,watts,utilization_percent,memory_used_mib
idle,1788848996.1077867,271.41,77.0,4995.0
idle,1788848996.1850834,60.48,77.0,4995.0
idle,1788848996.2378752,60.48,77.0,4995.0
idle,1788848996.2967288,60.69,0.0,4995.0
idle,1788848996.347384,60.79,0.0,4995.0
idle,1788848996.6342118,60.79,0.0,4995.0
idle,1788848996.6844604,60.79,0.0,4995.0
idle,1788848996.7347748,59.8,0.0,4995.0
idle,1788848996.785045,59.8,0.0,4995.0
idle,1788848996.8353026,59.8,0.0,4995.0
idle,1788848996.8855176,59.6,0.0,4995.0
idle,1788848996.9358273,59.8,0.0,4995.0
idle,1788848996.9859753,59.8,0.0,4995.0
idle,1788848997.0364137,59.8,0.0,4995.0
idle,1788848997.086741,59.7,0.0,4995.0
idle,1788848997.1370556,59.7,0.0,4995.0
idle,1788848997.187332,59.7,0.0,4995.0
idle,1788848997.2375536,59.7,0.0,4995.0
idle,1788848997.28791,59.6,0.0,4995.0
idle,1788848997.3380306,59.6,0.0,4995.0
idle,1788848997.3884015,59.6,0.0,4995.0
idle,1788848997.4386308,59.6,0.0,4995.0
idle,1788848997.4889474,59.8,0.0,4995.0
idle,1788848997.5391374,59.8,0.0,4995.0
idle,1788848997.5894632,59.7,0.0,4995.0
idle,1788848997.6397762,59.7,0.0,4995.0
idle,1788848997.690049,59.51,0.0,4995.0
idle,1788848997.7403867,59.51,0.0,4995.0
idle,1788848997.8209612,59.6,0.0,4995.0
idle,1788848997.9174595,59.7,0.0,4995.0
idle,1788848997.9685175,59.7,0.0,4995.0
active:b3:trial1,1788848998.2955663,59.6,0.0,4995.0
active:b3:trial2,1788848998.3457882,59.6,59.0,4995.0
active:b3:trial2,1788848998.3960495,59.6,59.0,4995.0
active:b3:trial3,1788848998.4462528,192.99,59.0,4995.0
active:b3:trial4,1788848998.496519,192.99,59.0,4995.0
active:b3:trial4,1788848998.5466967,253.13,75.0,4995.0
active:b3:trial5,1788848998.5969427,253.13,75.0,4995.0
active:b3:trial5,1788848998.647174,238.78,75.0,4995.0
active:b3:trial6,1788848998.697413,238.78,87.0,4995.0
active:b3:trial6,1788848998.7476757,242.13,87.0,4995.0
active:b3:trial7,1788848998.7978888,242.13,87.0,4995.0
active:b3:trial7,1788848998.8480945,241.77,87.0,4995.0
active:b3:trial8,1788848998.8982873,241.77,73.0,4995.0
active:b3:trial8,1788848998.9485872,243.87,73.0,4995.0
active:b3:trial9,1788848998.998866,243.87,73.0,4995.0
active:b3:trial9,1788848999.049193,236.64,73.0,4995.0
active:b3:trial10,1788848999.0994987,236.64,83.0,4995.0
active:b3:trial10,1788848999.149743,236.64,83.0,4995.0
active:b3:trial11,1788848999.2000136,202.73,83.0,4995.0
active:b3:trial11,1788848999.2501998,202.73,83.0,4995.0
active:b3:trial12,1788848999.3004653,243.13,88.0,4995.0
active:b3:trial13,1788848999.3507335,274.21,88.0,4995.0
active:b3:trial13,1788848999.401058,274.21,88.0,4995.0
active:b3:trial14,1788848999.4963937,279.17,85.0,4995.0
active:b3:trial15,1788848999.5612397,210.15,85.0,4995.0
active:b3:trial15,1788848999.612002,210.15,85.0,4995.0
active:b3:trial16,1788848999.663489,210.15,85.0,4995.0
active:b3:trial21,1788849000.0837097,222.84,87.0,4995.0
active:b3:trial21,1788849000.1338959,222.84,87.0,4995.0
active:b3:trial22,1788849000.1841898,261.52,89.0,4995.0
active:b3:trial22,1788849000.2343428,261.52,89.0,4995.0
active:b3:trial23,1788849000.2846928,274.97,87.0,4995.0
active:b3:trial23,1788849000.3348813,274.97,87.0,4995.0
active:b3:trial24,1788849000.3851764,218.18,87.0,4995.0
active:b3:trial25,1788849000.4354112,218.18,87.0,4995.0
active:b3:trial25,1788849000.485584,236.24,89.0,4995.0
active:b3:trial26,1788849000.5358574,236.24,89.0,4995.0
active:b3:trial26,1788849000.5860205,239.46,89.0,4995.0
active:b3:trial27,1788849000.6364117,239.46,89.0,4995.0
active:b3:trial27,1788849000.6864893,247.68,89.0,4995.0
active:b3:trial28,1788849000.7367604,247.68,86.0,4995.0
active:b3:trial28,1788849000.7868946,231.01,86.0,4995.0
active:b3:trial29,1788849000.8374064,231.01,86.0,4995.0
