trial,change,best_srcc,best_plcc,decision
s431,"continuous phase; no k-space; DC=0",0.618217533,0.656260700,"keep as clean-physics control"
s432,"s431 plus raw feature phase reset to 0 (physical pi)",0.611125383,0.650195575,"keep as initialization/mask-motion audit"
s433,"zero-phase start plus depth-3 electronic residual",0.601221101,0.644447772,"reject: deeper electronic route hurt"
s434,"continuous phase; no k-space; fixed DC=20%",0.624019686,0.661989935,"competitive"
s435,"s434 plus raw feature phase reset to 0",0.605715644,0.648236657,"reject for accuracy; mask did train"
s437,"continuous s414 warm start; no k-space; fixed DC=20%",0.624152747,0.661913922,"selected"
s438,"s437 plus depth-3 electronic residual",0.623964327,0.661823631,"reject: no gain"
s439,"s437 plus exact-identity initialized third electronic block",0.623940153,0.661667916,"reject: no gain"
s440,"phase-only continuation",0.624074492,0.661815775,"reject: below selected"
s441,"readout-only continuation with stronger regularization",0.623613665,0.661800321,"reject: below selected"
s442,"learnable zero-start identity skip inside E branch",0.623999330,0.662165532,"reject: SRCC below selected"
s443,"MOS-stratified batch size 128",0.623836896,0.662089965,"reject: below selected"
s444,"checkpoint interpolation between s414 and s437",0.624139400,0.661912600,"reject: optimum was the s437 endpoint"
