host_time_unix,host_monotonic_s,phase,watts
1788739306.7619097,2219548.664653574,idle,15.43
1788739306.7719696,2219548.674712171,idle,15.43
1788739306.7820263,2219548.684768906,idle,15.43
1788739306.7920904,2219548.694832879,idle,15.43
1788739306.8021498,2219548.70489254,idle,15.43
1788739306.8122194,2219548.714962007,idle,15.43
1788739306.8222942,2219548.72503673,idle,15.43
1788739306.8323677,2219548.735110144,idle,15.43
1788739306.8424408,2219548.745183517,idle,15.43
1788739306.8525143,2219548.755256774,idle,15.43
1788739306.8625886,2219548.765331146,idle,16.67
1788739306.8726625,2219548.775404977,idle,16.67
1788739306.8827357,2219548.785478052,idle,16.67
1788739306.8928132,2219548.795555877,idle,16.67
1788739306.9028862,2219548.805628631,idle,16.67
1788739306.9129634,2219548.81570591,idle,16.67
1788739306.9230297,2219548.825772188,idle,16.67
1788739306.933103,2219548.835845691,idle,16.67
1788739306.9431763,2219548.845918643,idle,16.67
1788739306.953249,2219548.855991626,idle,16.67
1788739306.963323,2219548.866065627,idle,16.67
1788739306.9733963,2219548.876138868,idle,16.67
1788739306.9834712,2219548.88621358,idle,16.67
1788739306.993546,2219548.896288564,idle,16.67
1788739307.0036187,2219548.906361308,idle,16.67
1788739307.0136912,2219548.916433783,idle,16.67
1788739307.0237648,2219548.926507196,idle,16.67
1788739307.0338383,2219548.936580933,idle,16.67
1788739307.0439126,2219548.946655169,idle,16.67
1788739307.0539844,2219548.956727008,idle,16.67
1788739307.064058,2219548.966800699,idle,16.67
1788739307.0741308,2219548.976873113,idle,16.67
1788739307.0842044,2219548.986947121,idle,16.67
1788739307.0942771,2219548.997019532,idle,16.67
1788739307.104346,2219549.007088517,idle,16.67
1788739307.114419,2219549.017161362,idle,16.67
1788739307.1244915,2219549.027233957,idle,16.67
1788739307.1345682,2219549.037310645,idle,16.67
1788739307.1446416,2219549.047384179,idle,16.67
1788739307.1547148,2219549.057457481,idle,16.67
1788739307.1647878,2219549.067530261,idle,16.67
1788739307.1748621,2219549.077604824,idle,16.67
1788739307.184936,2219549.087678507,idle,16.67
1788739307.1950088,2219549.097751208,idle,16.67
1788739307.205081,2219549.107823503,idle,16.67
1788739307.2151544,2219549.11789708,idle,16.67
1788739307.2252274,2219549.127969717,idle,16.67
1788739307.2352989,2219549.138041294,idle,16.67
1788739307.2453706,2219549.148113036,idle,16.67
1788739307.2554464,2219549.158189111,idle,16.67
1788739307.2655182,2219549.168260497,idle,16.67
1788739307.2755938,2219549.178336232,idle,16.67
1788739307.285697,2219549.188439492,idle,16.67
1788739307.2957675,2219549.198510674,idle,16.67
1788739307.3058288,2219549.208571673,idle,16.67
1788739307.3159032,2219549.21864592,idle,16.67
1788739307.3259761,2219549.228718678,idle,16.67
1788739307.3360493,2219549.238792215,idle,16.67
1788739307.3461223,2219549.248864847,idle,16.67
1788739307.3561952,2219549.258938089,idle,16.67
1788739307.3662686,2219549.269011485,idle,17.21
1788739307.3763433,2219549.279085872,idle,17.21
1788739307.386417,2219549.289159616,idle,17.21
1788739307.3964891,2219549.299231887,idle,17.21
1788739307.4065619,2219549.309304493,idle,17.21
1788739307.416636,2219549.319378611,idle,17.21
1788739307.4267101,2219549.329452697,idle,17.21
1788739307.4367836,2219549.33952632,idle,17.21
1788739307.4468553,2219549.349598167,idle,17.21
1788739307.456926,2219549.359668973,idle,17.21
