host_time_unix,host_monotonic_s,phase,watts
1788739100.9621253,2219342.864870519,idle,67.41
1788739100.9721487,2219342.874891616,idle,67.41
1788739100.982213,2219342.884955779,idle,67.41
1788739100.9922798,2219342.895022468,idle,67.41
1788739101.0023472,2219342.905090151,idle,67.41
1788739101.0124168,2219342.915159535,idle,67.41
1788739101.022485,2219342.925227554,idle,67.41
1788739101.0325541,2219342.935296903,idle,67.41
1788739101.0426507,2219342.945393231,idle,67.41
1788739101.0534616,2219342.956216747,idle,67.41
1788739101.062943,2219342.965685948,idle,67.38
1788739101.0730097,2219342.975752439,idle,67.38
1788739101.0830777,2219342.985820423,idle,67.38
1788739101.0931437,2219342.995886475,idle,67.38
1788739101.1032145,2219343.005957314,idle,67.38
1788739101.113287,2219343.016029483,idle,67.38
1788739101.1233566,2219343.026099312,idle,67.38
1788739101.1334248,2219343.03616737,idle,67.38
1788739101.1435435,2219343.046286198,idle,67.38
1788739101.1536233,2219343.056366164,idle,67.38
1788739101.1636922,2219343.06643485,idle,67.38
1788739101.1737604,2219343.076503221,idle,67.38
1788739101.1838307,2219343.086573457,idle,67.38
1788739101.1938992,2219343.096642182,idle,67.38
1788739101.2039676,2219343.106710069,idle,67.38
1788739101.2140357,2219343.116778501,idle,67.38
1788739101.224106,2219343.126848764,idle,67.38
1788739101.234174,2219343.136916704,idle,67.38
1788739101.2442446,2219343.146987101,idle,67.38
1788739101.2543132,2219343.157056012,idle,67.38
1788739101.2643821,2219343.167124932,idle,67.38
1788739101.27445,2219343.17719275,idle,67.38
1788739101.2845187,2219343.187261224,idle,67.38
1788739101.2945879,2219343.19733084,idle,67.38
1788739101.3046525,2219343.207395207,idle,67.38
1788739101.3147182,2219343.217460986,idle,67.38
1788739101.324789,2219343.227531691,idle,67.38
1788739101.3348548,2219343.237597563,idle,67.38
1788739101.3449252,2219343.247667755,idle,67.38
1788739101.3549936,2219343.257736287,idle,67.38
1788739101.3650577,2219343.267800518,idle,67.38
1788739101.3751395,2219343.277882354,idle,67.38
1788739101.385203,2219343.287945572,idle,67.38
