epoch,loss,cross_modal,symmetric,kd,balance,importance,hard_load,phase_dc,ccd_operating,train_batch_recall_at_1,elapsed_seconds,vision_image_router_counts,language_image_router_counts,language_title_router_counts,test_recall_at_1,test_recall_at_5,test_recall_at_10,test_mrr,test_mean_rank,test_median_rank
1,3.609613558650017,1.6805758155882358,1.6191310046240688,0.5326279943808914,1.415462500602007,0.23146897815167905,0.7504491057246924,0.9855784337967635,0.7335934601724148,0.396875,71.16868175566196,"[2401, 2914, 1610, 2675]","[4800, 4723, 77, 0]","[1600, 1590, 8, 2]",,,,,,
2,2.244549746066332,0.7402200970798731,0.5123858921229839,0.5362367613241077,1.358403167128563,0.2651579617522657,0.6060787968337535,0.974002567306161,0.7340398948639631,0.7520833333333333,72.65745609998703,"[2337, 2416, 2161, 2686]","[4800, 4415, 271, 114]","[1600, 1380, 111, 109]",,,,,,
3,1.8754826404154301,0.5120520999655127,0.3316650921944529,0.5425557307898998,1.3441389136016368,0.2618734808638692,0.5064306501299143,0.9628645747900009,0.7308893099427223,0.84125,71.06979498267174,"[2354, 2439, 2279, 2528]","[4800, 3890, 644, 266]","[1600, 1176, 187, 237]",,,,,,
4,1.6804497003555299,0.41037429864518343,0.24483478358015417,0.5316937290132046,1.3352996028959752,0.25886467192322016,0.4473750915378332,0.9520023725926876,0.7194167394191027,0.88375,68.65191084891558,"[2367, 2463, 2283, 2487]","[4800, 3734, 662, 404]","[1600, 1070, 260, 270]",,,,,,
5,1.5595469236373902,0.35667916741222144,0.2178783888928592,0.5183150075376034,1.330482590943575,0.25834146244451406,0.4009306412190199,0.9411318864673376,0.7270398776978254,0.905625,70.52182246744633,"[2362, 2408, 2333, 2497]","[4800, 3236, 1016, 548]","[1600, 973, 286, 341]",0.5275,0.86125,0.9375,0.6693326138401212,3.3325,1.0
6,1.4714199714362621,0.32395217993762343,0.19157287077978252,0.5003102086484432,1.329417572170496,0.25926969284191725,0.3704399012029171,0.9293607886880636,0.7197107709944248,0.9139583333333333,71.02075031399727,"[2362, 2411, 2375, 2452]","[4800, 3118, 971, 711]","[1600, 901, 315, 384]",,,,,,
7,1.3961211636662483,0.28715260594617575,0.1687815377023071,0.49042540192604067,1.324404675513506,0.25701705245301126,0.34831954464316367,0.9174230538308621,0.7249855257570743,0.9283333333333333,73.2724369391799,"[2301, 2493, 2299, 2507]","[4800, 2908, 1077, 815]","[1600, 879, 352, 369]",,,,,,
8,1.3345348700881003,0.2615418318193406,0.15262228248175233,0.47637672908604145,1.3231111548841,0.2562310978770256,0.33094916148111225,0.904665558412671,0.7136165641248227,0.9379166666666666,70.04171136766672,"[2378, 2424, 2344, 2454]","[4800, 2742, 1159, 899]","[1600, 787, 399, 414]",,,,,,
9,1.2988965056836606,0.2414842705009505,0.13803228386677802,0.46567934062331917,1.3239934124052524,0.25664948830381035,0.32956951381638644,0.8920333586633206,0.7165068723261356,0.941875,70.74924481660128,"[2333, 2457, 2323, 2487]","[4800, 2624, 1196, 980]","[1600, 800, 375, 425]",,,,,,
10,1.2640196889638902,0.2235690156230703,0.12640466702869163,0.45458835922181606,1.3216807126998902,0.25645394809544086,0.3268704513087869,0.8786566954106092,0.7243570845574141,0.95125,69.19230403006077,"[2314, 2496, 2290, 2500]","[4800, 2618, 1222, 960]","[1600, 814, 396, 390]",0.66,0.9229166666666667,0.9675,0.7756688240921954,2.381666666666667,1.0
11,1.2276392858475447,0.22066098740324377,0.12700489530107006,0.44215933233499527,1.320122415572405,0.25475981226190925,0.306259345728904,0.8640479624271393,0.71396962441504,0.95,69.24679787456989,"[2358, 2450, 2306, 2486]","[4800, 2517, 1246, 1037]","[1600, 701, 436, 463]",,,,,,
12,1.2096907883882522,0.20500195941422134,0.11705086259171367,0.4315391805022955,1.3221090748906135,0.2559352915734053,0.3169815666973591,0.8485707599669695,0.7054366700351238,0.95625,73.06910436600447,"[2315, 2464, 2328, 2493]","[4800, 2523, 1173, 1104]","[1600, 724, 428, 448]",,,,,,
13,1.198273940384388,0.2089691153494641,0.11971310150111095,0.42315762788057326,1.3215841457247735,0.2571214527823031,0.30942138340324166,0.8321031659841538,0.7057267043739557,0.953125,70.62932964414358,"[2415, 2436, 2323, 2426]","[4800, 2421, 1266, 1113]","[1600, 715, 441, 444]",,,,,,
14,1.157005251944065,0.19249585799407215,0.1073584534577094,0.4131014676764607,1.3190815940499305,0.255981529597193,0.29827322671189904,0.8154417216777802,0.7058181371539831,0.9595833333333333,70.71734501421452,"[2408, 2422, 2367, 2403]","[4800, 2315, 1325, 1160]","[1600, 722, 447, 431]",,,,,,
15,1.1383014265447855,0.1812309579923749,0.10641546015976928,0.40497674196958544,1.3190967701375484,0.25534143215045335,0.29939361875876785,0.797191146016121,0.7016052715480328,0.9645833333333333,71.37392624467611,"[2327, 2490, 2300, 2483]","[4800, 2296, 1317, 1187]","[1600, 724, 442, 434]",0.7075,0.9420833333333334,0.9791666666666666,0.8097865066253527,2.0754166666666665,1.0
16,1.1260081242769957,0.1763295573182404,0.10242755656363442,0.3966333527117968,1.3207229197025299,0.25675334939733147,0.3011852655559778,0.7765081703662873,0.6995971318334341,0.961875,71.95228262990713,"[2335, 2446, 2327, 2492]","[4800, 2220, 1364, 1216]","[1600, 718, 435, 447]",,,,,,
17,1.1287216532975435,0.18012421482708305,0.10398466369369999,0.3945918934419751,1.319813098758459,0.25558798890560863,0.302074159309268,0.7559031836688519,0.6980099275708198,0.9639583333333334,72.97355534881353,"[2309, 2479, 2313, 2499]","[4800, 2317, 1359, 1124]","[1600, 711, 458, 431]",,,,,,
18,1.0924334276467562,0.16588889609556645,0.09690141212195158,0.3832838762551546,1.3185434594750405,0.25531058888882396,0.29343064306303857,0.7345523964613676,0.6968972187489271,0.9639583333333334,70.8394120708108,"[2390, 2381, 2436, 2393]","[4800, 2107, 1411, 1282]","[1600, 678, 447, 475]",,,,,,
19,1.0842053052037954,0.1604810358141549,0.09326048635412007,0.3796013223007321,1.3192719541490079,0.25561864441260695,0.29528711540624497,0.7107575699687004,0.6925686746835709,0.96875,70.25792618095875,"[2401, 2409, 2368, 2422]","[4800, 2142, 1382, 1276]","[1600, 659, 457, 484]",,,,,,
20,1.0745916668325664,0.16146274382481351,0.09264344234252349,0.3713234718888998,1.3169178657233716,0.25521026728674767,0.29352786429226396,0.6876593355089426,0.6966166265308857,0.9689583333333334,67.95803678780794,"[2365, 2474, 2300, 2461]","[4800, 2098, 1426, 1276]","[1600, 724, 444, 432]",0.73875,0.945,0.9816666666666667,0.8279948700896546,1.96125,1.0
21,1.0543703075498343,0.14991244134726003,0.08236334573011846,0.3669746682047844,1.3173463098704814,0.25590347331017255,0.29193064346909525,0.6632790792733431,0.6903618164360523,0.9733333333333334,66.762640170753,"[2323, 2432, 2363, 2482]","[4800, 2058, 1461, 1281]","[1600, 678, 420, 502]",,,,,,
22,1.042667642980814,0.1547239324077964,0.09044958378653974,0.360809020511806,1.3135173991322517,0.25485105253756046,0.28034267043694855,0.6386500395834446,0.6882354464381933,0.9704166666666667,67.44456893950701,"[2376, 2448, 2355, 2421]","[4800, 2058, 1391, 1351]","[1600, 638, 482, 480]",,,,,,
23,1.0391231887042522,0.14470821525901556,0.08448400251800195,0.35756236147135495,1.3166643545031547,0.2558729423210025,0.29117138823494315,0.6141499612480402,0.6877450745552778,0.975625,65.77014924585819,"[2328, 2465, 2329, 2478]","[4800, 2125, 1406, 1269]","[1600, 633, 488, 479]",,,,,,
24,1.0294320132583379,0.1438615247490816,0.08210840916726739,0.3506478130817413,1.31769899725914,0.25582041321322324,0.2900278501212597,0.5898590043187142,0.6765372153371573,0.9752083333333333,66.54777676612139,"[2433, 2382, 2404, 2381]","[4800, 2030, 1470, 1300]","[1600, 672, 452, 476]",,,,,,
