epoch,loss,cross_modal,symmetric,kd,balance,importance,hard_load,phase_dc,ccd_operating,train_batch_recall_at_1,elapsed_seconds,vision_image_router_counts,language_image_router_counts,language_title_router_counts,test_recall_at_1,test_recall_at_5,test_recall_at_10,test_mrr,test_mean_rank,test_median_rank
1,2.7600898571312427,1.640552169457078,1.560600814409554,0.691410019248724,1.4407641187310218,0.18919591661542653,0.766597243770957,0.98544154278934,0.7346807099878788,0.39458333333333334,68.55772348493338,"[2419, 2881, 1581, 2719]","[4800, 4800, 0, 0]","[1600, 1600, 0, 0]",,,,,,
2,1.5320157922804356,0.7238547766581178,0.45048056840896605,0.6698070205748081,1.3951841413974762,0.23205373520031572,0.7175000365823507,0.9738006576895714,0.7361962422728539,0.745625,65.82764802128077,"[2343, 2430, 2125, 2702]","[4800, 4768, 30, 2]","[1600, 1600, 0, 0]",,,,,,
3,1.235931883007288,0.49786924505606295,0.2805443251738325,0.6957450341433287,1.3613473638892173,0.257613037340343,0.6513472935184836,0.9631000362336636,0.7326919339597225,0.8291666666666667,65.82369101047516,"[2372, 2427, 2259, 2542]","[4800, 4555, 209, 36]","[1600, 1478, 64, 58]",,,,,,
4,1.0629018750041723,0.3895492727868259,0.19377128693740814,0.692346016690135,1.3465115793049336,0.25722582964226604,0.5702963810414076,0.9527079507708549,0.7214399907737971,0.8720833333333333,65.49486073106527,"[2345, 2434, 2294, 2527]","[4800, 4391, 269, 140]","[1600, 1324, 125, 151]",,,,,,
5,0.9700515918433666,0.3333180883899331,0.16872464113403113,0.6928667668253183,1.3389956764876842,0.2573173023760319,0.510268603824079,0.9418440707027912,0.7291393063962459,0.8935416666666667,65.6826771646738,"[2321, 2438, 2290, 2551]","[4800, 3929, 622, 249]","[1600, 1208, 177, 215]",0.5125,0.8454166666666667,0.9333333333333333,0.653569599678177,3.5729166666666665,1.0
6,0.8943844012916088,0.2943046785192564,0.1411604685301427,0.6740217071026564,1.3353335201740264,0.2586341061629355,0.46298620365560056,0.9303910989314318,0.7219331994652748,0.9089583333333333,65.91399571299553,"[2339, 2421, 2381, 2459]","[4800, 3779, 665, 356]","[1600, 1107, 224, 269]",,,,,,
7,0.8328988540917635,0.2571626517456025,0.12419040182139725,0.6753199364989996,1.3301920287311078,0.25682211155071855,0.4227824917063117,0.9187155295163393,0.7277991525828839,0.9195833333333333,66.84729965031147,"[2286, 2502, 2306, 2506]","[4800, 3500, 818, 482]","[1600, 1041, 278, 281]",,,,,,
8,0.7880945574492216,0.23500726716592907,0.10953056574799121,0.6607633467763663,1.327883169800043,0.2561644601635635,0.3945186099037528,0.9066472440958023,0.7164573799818754,0.9304166666666667,66.3765125349164,"[2334, 2422, 2346, 2498]","[4800, 3357, 882, 561]","[1600, 953, 303, 344]",,,,,,
9,0.7498566024005413,0.20844627234619112,0.09354304751614109,0.6532766409218311,1.3274639755487443,0.25614594724029305,0.38372694570571186,0.8944741811603307,0.7192843805998563,0.93875,67.93846356123686,"[2330, 2479, 2313, 2478]","[4800, 3183, 960, 657]","[1600, 964, 305, 331]",,,,,,
10,0.7222703166306019,0.19179268886800854,0.08707833566877525,0.6442737102508544,1.3248846396803855,0.25640078596770766,0.3706945352256298,0.8819698691368103,0.7275011941790581,0.941875,67.83518270403147,"[2280, 2520, 2255, 2545]","[4800, 3114, 994, 692]","[1600, 919, 344, 337]",0.67,0.9108333333333334,0.9608333333333333,0.7746153572102537,2.535,1.0
