dataset,seed,protocol,geometry_contract,model,reference_experts,top_k,selected_fraction,active_side_px,canvas_side_px,phase_side_px,feature_layers,status
kather2016,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,4,4,1.0,1748,1788,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_v1,fixed_global,d2nn_total_parameter,4,,,1748,1788,1280,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_v1,fixed_global,d2nn_same_aperture,4,,,1748,1788,1748,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,16,4,0.25,1748,1788,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,16,16,1.0,1748,1788,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_v1,fixed_global,d2nn_total_parameter,16,,,1748,1788,1392,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,49,4,0.08163265306122448,1748,1788,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,49,49,1.0,1748,1788,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_v1,fixed_global,d2nn_total_parameter,49,,,1748,1788,1662,6,planned_not_started
deepweeds,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,4,4,1.0,1748,1788,224,6,planned_not_started
deepweeds,17,raw_rgb_fullfield_oeo_v1,fixed_global,d2nn_total_parameter,4,,,1748,1788,1280,6,planned_not_started
deepweeds,17,raw_rgb_fullfield_oeo_v1,fixed_global,d2nn_same_aperture,4,,,1748,1788,1748,6,planned_not_started
deepweeds,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,16,4,0.25,1748,1788,224,6,planned_not_started
deepweeds,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,16,16,1.0,1748,1788,224,6,planned_not_started
deepweeds,17,raw_rgb_fullfield_oeo_v1,fixed_global,d2nn_total_parameter,16,,,1748,1788,1392,6,planned_not_started
deepweeds,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,49,4,0.08163265306122448,1748,1788,224,6,planned_not_started
deepweeds,17,raw_rgb_fullfield_oeo_v1,fixed_global,moe_oeo,49,49,1.0,1748,1788,224,6,planned_not_started
deepweeds,17,raw_rgb_fullfield_oeo_v1,fixed_global,d2nn_total_parameter,49,,,1748,1788,1662,6,planned_not_started
