dataset,seed,protocol,geometry_contract,model,reference_experts,top_k,selected_fraction,active_side_px,canvas_side_px,phase_side_px,feature_layers,status
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,4,1,0.25,478,518,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,4,2,0.5,478,518,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,4,4,1.0,478,518,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,d2nn_total_parameter,4,,,478,518,472,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,d2nn_same_aperture,4,,,478,518,478,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,9,1,0.1111111111111111,732,772,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,9,2,0.2222222222222222,732,772,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,9,3,0.3333333333333333,732,772,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,9,4,0.4444444444444444,732,772,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,9,5,0.5555555555555556,732,772,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,9,9,1.0,732,772,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,d2nn_total_parameter,9,,,732,772,708,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,d2nn_same_aperture,9,,,732,772,732,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,16,1,0.0625,986,1026,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,16,2,0.125,986,1026,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,16,4,0.25,986,1026,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,16,8,0.5,986,1026,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,16,16,1.0,986,1026,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,d2nn_total_parameter,16,,,986,1026,946,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,d2nn_same_aperture,16,,,986,1026,986,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,25,1,0.04,1240,1280,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,25,2,0.08,1240,1280,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,25,4,0.16,1240,1280,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,25,7,0.28,1240,1280,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,25,13,0.52,1240,1280,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,moe_oeo,25,25,1.0,1240,1280,224,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,d2nn_total_parameter,25,,,1240,1280,1186,6,planned_not_started
kather2016,17,raw_rgb_fullfield_oeo_17um_phase8um_v2,growing_global,d2nn_same_aperture,25,,,1240,1280,1240,6,planned_not_started
