dataset,method,run_id,top1_percent,top3_percent,mrr,selected_epoch,phase_rms_rad,selected_epoch_usage_weighted_phase_rms_rad,selected_epoch_vision_experts_used,selected_epoch_language_experts_used,optical_removal_top1_drop_pp,optical_dependency_5pp_pass,electronic_removal_top1_drop_pp,vision_optical_removal_top1_drop_pp,language_optical_removal_top1_drop_pp,train_images,validation_images,gallery_images,test_queries,generator_backbone_dtype,generator_trainable_parameters,joint_stage_trainable_parameters,lora_phase_effect_rad,peak_memory_gib,elapsed_seconds,device,gpu_uuid,git_sha,updates,initialization_sha256,alpha_min,export_max_error
caltech,fixed,20260908_v3_formal_caltech_fixed_s42,79.50000166893005,91.50000214576721,0.8640872240066528,26,0.0,0.0,4,2,31.50000274181366,True,29.500001668930054,8.000004291534424,19.999998807907104,2525,100,30,200,not_applicable,0,2381073,,6.906029224395752,2018.6947218105197,NVIDIA GeForce RTX 4090,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3120,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
caltech,direct,20260908_v3_formal_caltech_direct_s42,81.49999976158142,94.49999928474426,0.8828471899032593,23,0.9849497079849243,1.0228313399524196,4,2,35.999998450279236,True,32.499998807907104,8.99999737739563,20.999997854232788,2525,100,30,200,not_applicable,0,2782481,,7.131551265716553,2077.824792228639,NVIDIA GeForce RTX 4090,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3600,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
caltech,qwen_lora,20260908_v3_formal_caltech_qwen_lora_s42,81.00000023841858,93.99999976158142,0.876380980014801,29,1.261916995048523,1.1017832018923577,4,2,32.499998807907104,True,29.500001668930054,8.499997854232788,15.500003099441528,2525,100,30,200,BF16,1978368,4359441,0.005739928688853979,11.063555240631104,2958.352398082614,NVIDIA GeForce RTX 4090,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3600,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
caltech,clip_lora,20260908_v3_formal_caltech_clip_lora_s42,81.00000023841858,94.49999928474426,0.8813452124595642,27,1.2622631788253784,1.0958628147345764,4,2,29.000002145767212,True,35.499998927116394,9.50000286102295,22.50000238418579,2525,100,30,200,FP32,569344,2950417,0.0046804798766970634,7.600351810455322,2442.8606814220548,NVIDIA GeForce RTX 4090,GPU-afc19890-6209-ee4d-622d-e619da5bd5b2,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3600,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
cifar100,fixed,20260908_v3_formal_cifar_fixed_s42,50.0,81.09999895095825,0.6718682646751404,30,0.0,0.0,4,2,26.000000536441803,True,12.799999117851257,8.19999873638153,22.90000021457672,4750,200,50,1000,not_applicable,0,2381073,,6.910493850708008,2061.0741552636027,NVIDIA GeForce RTX 4090,GPU-1b963983-7909-af6e-0528-f0f0661ab549,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3120,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
cifar100,direct,20260908_v3_formal_cifar_direct_s42,50.300002098083496,83.09999704360962,0.6827384233474731,30,1.0103305578231812,1.0462732338365868,4,2,23.70000183582306,True,19.80000138282776,9.200000762939453,21.60000205039978,4750,200,50,1000,not_applicable,0,2782481,,7.135334014892578,2093.1995786204934,NVIDIA GeForce RTX 4090,GPU-1b963983-7909-af6e-0528-f0f0661ab549,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3600,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
cifar100,qwen_frozen,20260908_v3_formal_cifar_qwen_frozen_s42,48.60000014305115,80.0000011920929,0.6622123122215271,29,1.0967296361923218,0.847597496434057,4,2,24.500000476837158,True,18.09999942779541,11.300000548362732,23.600000143051147,4750,200,50,1000,BF16,372736,2753809,,10.3495512008667,2177.880545653403,NVIDIA GeForce RTX 4090,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3600,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
cifar100,qwen_lora,20260908_v3_formal_cifar_qwen_lora_s42,50.09999871253967,80.59999942779541,0.6735095381736755,30,1.0462185144424438,0.7729856404534513,4,2,25.499998033046722,True,18.699997663497925,9.699997305870056,24.300000071525574,4750,200,50,1000,BF16,1978368,4359441,0.004633212462067604,11.1416015625,3463.911527529359,NVIDIA GeForce RTX 4090,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3600,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
cifar100,clip_frozen,20260908_v3_formal_cifar_clip_frozen_s42,50.80000162124634,80.80000281333923,0.675430178642273,30,1.0332156419754028,0.7816690677044208,4,2,27.500002086162567,True,19.00000274181366,8.600002527236938,22.90000021457672,4750,200,50,1000,FP32,372736,2753809,,7.3758769035339355,2067.9172479063272,NVIDIA GeForce RTX 4090,GPU-1b963983-7909-af6e-0528-f0f0661ab549,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3600,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
cifar100,clip_lora,20260908_v3_formal_cifar_clip_lora_s42,52.30000019073486,81.69999718666077,0.6854821443557739,30,1.1194385290145874,0.8713881482897627,4,2,28.800000250339508,True,19.600000977516174,11.59999966621399,20.899999141693115,4750,200,50,1000,FP32,569344,2950417,0.03550779074430466,7.605692386627197,2440.9409453496337,NVIDIA GeForce RTX 4090,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,dee34f07aa2f8aadbcfbc2600d49bd76783abb41,3600,6a27f54d8c869cce46150583383a127b0ba47b3d34503f5753aa23974ac1e55d,0.6000000238418579,0.0
