dataset,method,intervention,top1_percent,top3_percent,top1_change_pp
caltech,direct,initial_experts,62.00000047683716,79.00000214576721,-19.999998807907104
caltech,direct,flat_pi_experts,62.00000047683716,79.00000214576721,-19.999998807907104
caltech,direct,remove_optical,48.500001430511475,73.00000190734863,-33.49999785423279
caltech,direct,remove_electronic,51.499998569488525,75.0,-30.500000715255737
caltech,direct,remove_vision_optical,71.49999737739563,84.50000286102295,-10.500001907348633
caltech,direct,remove_language_optical,56.49999976158142,81.00000023841858,-25.499999523162842
caltech,clip_vision_lora,initial_experts,75.49999952316284,88.49999904632568,-7.999998331069946
caltech,clip_vision_lora,flat_pi_experts,75.49999952316284,88.49999904632568,-7.999998331069946
caltech,clip_vision_lora,lora_disabled_same_decoder,82.99999833106995,94.49999928474426,-0.4999995231628418
caltech,clip_vision_lora,remove_optical,55.50000071525574,73.50000143051147,-27.99999713897705
caltech,clip_vision_lora,remove_electronic,46.00000083446503,70.99999785423279,-37.49999701976776
caltech,clip_vision_lora,remove_vision_optical,69.9999988079071,88.99999856948853,-13.499999046325684
caltech,clip_vision_lora,remove_language_optical,67.00000166893005,85.00000238418579,-16.499996185302734
caltech,qwen_vision_pooled_lora,initial_experts,67.00000166893005,88.49999904632568,-13.499999046325684
caltech,qwen_vision_pooled_lora,flat_pi_experts,67.00000166893005,88.49999904632568,-13.499999046325684
caltech,qwen_vision_pooled_lora,lora_disabled_same_decoder,80.50000071525574,93.00000071525574,0.0
caltech,qwen_vision_pooled_lora,remove_optical,46.00000083446503,74.50000047683716,-34.49999988079071
caltech,qwen_vision_pooled_lora,remove_electronic,50.0,69.9999988079071,-30.500000715255737
caltech,qwen_vision_pooled_lora,remove_vision_optical,69.9999988079071,84.50000286102295,-10.500001907348633
caltech,qwen_vision_pooled_lora,remove_language_optical,55.50000071525574,81.49999976158142,-25.0
caltech,qwen_vision_lora,initial_experts,77.49999761581421,91.50000214576721,-2.5000035762786865
caltech,qwen_vision_lora,flat_pi_experts,77.49999761581421,91.50000214576721,-2.5000035762786865
