dataset,method,run_id,gpu_uuid,gpu_model,run_foreign_gpu_pids,epoch,stage,steps,setup_seconds,train_loop_seconds,evaluation_and_audit_seconds,checkpoint_and_logs_seconds,epoch_wall_seconds
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],1,experts,120,0.004177875816822052,51.331908494234085,2.3237157613039017,0.14587349444627762,53.805675625801086
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],2,experts,120,0.003710046410560608,48.42316546291113,2.392049014568329,0.31957510858774185,51.13849963247776
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],3,experts,120,0.004887111485004425,49.58289134502411,2.424072489142418,0.29942649602890015,52.31127744168043
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],4,experts,120,0.0037235990166664124,48.963435120880604,4.257509022951126,0.1771208569407463,53.40178859978914
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],5,optics,120,0.0035388171672821045,70.94202364981174,2.396731346845627,0.2555631622672081,73.59785697609186
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],6,optics,120,0.003319099545478821,73.89873629063368,2.5402385592460632,0.24779793620109558,76.69009188562632
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],7,optics,120,0.0033534690737724304,73.99235111474991,2.34005393832922,0.26968396455049515,76.6054424867034
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],8,optics,120,0.003637351095676422,69.39078367501497,2.0642207488417625,0.275345541536808,71.73398731648922
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],9,optics,120,0.00345669686794281,69.9439415410161,2.3186429664492607,0.21722016483545303,72.48326136916876
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],10,optics,120,0.0037289634346961975,70.22190224379301,2.164057418704033,0.46269261091947556,72.85238123685122
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],11,optics,120,0.003361843526363373,68.46529167890549,2.2271602749824524,0.5712963119149208,71.26711010932922
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],12,optics,120,0.0036590546369552612,70.0128111988306,5.207949869334698,0.27943216264247894,75.50385228544474
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],13,joint,120,0.0020537227392196655,74.23636455833912,2.617408201098442,0.4035356193780899,77.25936210155487
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],14,joint,120,0.0018774867057800293,76.2250666320324,2.5691767409443855,0.30808930844068527,79.10421016812325
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],15,joint,120,0.0018671080470085144,74.85498394817114,2.3332583233714104,0.29103390872478485,77.48114328831434
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],16,joint,120,0.0016165226697921753,76.0780572667718,2.5917738899588585,0.4713110849261284,79.14275876432657
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],17,joint,120,0.0015525221824645996,75.29201626777649,3.003969669342041,0.41112860292196274,78.70866706222296
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],18,joint,120,0.0018581971526145935,76.01201865077019,2.503425620496273,0.513322576880455,79.03062504529953
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],19,joint,120,0.0026678889989852905,79.15665175020695,2.431797184050083,0.5498081818223,82.14092500507832
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],20,joint,120,0.004018336534500122,78.80151623487473,2.9815458953380585,0.5788409262895584,82.36592139303684
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],21,joint,120,0.0018107891082763672,77.59597538411617,2.8200318068265915,0.5244937911629677,80.94231177121401
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],22,joint,120,0.0017661303281784058,78.38623354583979,2.565690591931343,0.35647548735141754,81.31016575545073
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],23,joint,120,0.0027577579021453857,77.58199052512646,2.446672961115837,0.5414097383618355,80.57283098250628
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],24,joint,120,0.001628585159778595,77.30468522012234,2.3425997868180275,0.4985766187310219,80.14749021083117
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],25,joint,120,0.0016282498836517334,75.47537323832512,2.382155120372772,0.4024626687169075,78.26161927729845
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],26,joint,120,0.0017618536949157715,75.38634156435728,2.402938984334469,0.4150627553462982,78.20610515773296
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],27,joint,120,0.0017687156796455383,76.63611022382975,2.671990543603897,0.7801940813660622,80.09006356447935
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],28,joint,120,0.001826174557209015,76.52512250095606,2.2982306480407715,1.053647741675377,79.87882706522942
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],29,joint,120,0.0016020610928535461,76.02712550759315,2.1965098530054092,0.45639288425445557,78.68163030594587
caltech,direct,20260908_v4_formal_caltech_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],30,joint,120,0.0016301348805427551,76.65453313291073,5.088188014924526,0.5864585861563683,82.33080986887217
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],1,experts,120,0.004657484591007233,61.29598965495825,2.6315438002347946,0.3693309798836708,64.30152191966772
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],2,experts,120,0.004292711615562439,60.32609196007252,2.3683883026242256,0.9053699001669884,63.604142874479294
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],3,experts,120,0.004494480788707733,61.26260343194008,2.5558493584394455,0.9571753144264221,64.78012258559465
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],4,experts,120,0.005004182457923889,61.02767140418291,5.761282116174698,0.9544759020209312,67.74843360483646
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],5,optics,120,0.004562124609947205,81.05238547176123,2.4751594737172127,0.4247076064348221,83.95681467652321
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],6,optics,120,0.006486944854259491,81.78605330735445,2.400429427623749,0.4461447596549988,84.63911443948746
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],7,optics,120,0.005275718867778778,83.61047549545765,2.5993587151169777,1.0043977871537209,87.21950771659613
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],8,optics,120,0.006684698164463043,82.9681925997138,2.671130709350109,0.9806442931294441,86.62665230035782
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],9,optics,120,0.004622139036655426,82.20569591969252,2.7050786539912224,0.9562264457345009,85.8716231584549
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],10,optics,120,0.00467943400144577,81.93530708551407,2.3684268072247505,0.490160271525383,84.79857359826565
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],11,optics,120,0.005108214914798737,80.92330334335566,2.549221560359001,0.5640760064125061,84.04170912504196
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],12,optics,120,0.006752856075763702,82.81478198617697,5.414446905255318,0.5099627152085304,88.74594446271658
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],13,joint,120,0.0030632391571998596,87.04862561821938,2.491064928472042,0.514878049492836,90.05763183534145
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],14,joint,120,0.0026806145906448364,87.28755392879248,2.6183433160185814,0.6781018227338791,90.58667968213558
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],15,joint,120,0.002799607813358307,86.82775845378637,2.3930773884058,0.6982384994626045,89.92187394946814
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],16,joint,120,0.0027870163321495056,86.3604075089097,2.4743128418922424,0.5116549134254456,89.34916228055954
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],17,joint,120,0.002459876239299774,82.76236388087273,2.4125314578413963,0.688307486474514,85.86566270142794
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],18,joint,120,0.0028635188937187195,82.63089574873447,2.3777079358696938,1.2110660597682,86.22253326326609
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],19,joint,120,0.0025325044989585876,83.85354765504599,2.414057433605194,0.6824285015463829,86.95256609469652
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],20,joint,120,0.0027610957622528076,83.70581290125847,2.430793009698391,1.1467007249593735,87.28606773167849
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],21,joint,120,0.0025536268949508667,83.30630362033844,2.168781504034996,0.8140109181404114,86.2916496694088
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],22,joint,120,0.0027181431651115417,82.89762283116579,2.500719368457794,0.6774877384305,86.0785480812192
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],23,joint,120,0.002520546317100525,82.47316428273916,2.604525037109852,0.7083196565508842,85.788529522717
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],24,joint,120,0.0030844807624816895,82.72065395116806,2.5410422533750534,1.3764158487319946,86.64119653403759
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],25,joint,120,0.002745583653450012,82.93943721801043,2.4970253333449364,0.7205480560660362,86.15975619107485
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],26,joint,120,0.002745509147644043,82.45509903877974,2.452521748840809,0.6457157731056213,85.55608206987381
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],27,joint,120,0.0026558488607406616,82.62777492403984,2.398140028119087,1.4525954127311707,86.48116621375084
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],28,joint,120,0.0027197599411010742,81.22050900757313,2.4071672707796097,0.8173347264528275,84.44773076474667
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],29,joint,120,0.0035813897848129272,81.74821017682552,2.406405210494995,0.8175280541181564,84.97572483122349
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],30,joint,120,0.0035879239439964294,81.66788244247437,4.441804759204388,0.712217316031456,86.8254924416542
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],1,experts,120,0.004141718149185181,102.32961320877075,2.5919406563043594,0.6603078320622444,105.58600341528654
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],2,experts,120,0.00489991158246994,101.86231940984726,2.751238949596882,1.2642427757382393,105.88270104676485
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],3,experts,120,0.004670776426792145,101.72420896589756,2.6660175397992134,1.3681296184659004,105.76302690058947
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],4,experts,120,0.006366319954395294,103.42025112360716,5.103536702692509,1.3177330568432808,109.84788720309734
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],5,optics,120,0.004862949252128601,120.69941232353449,2.6159991547465324,0.6510685309767723,123.97134295850992
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],6,optics,120,0.004997804760932922,120.90045914053917,2.721961684525013,1.4246961995959282,125.05211482942104
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],7,optics,120,0.0045861899852752686,120.24791616201401,2.8414919450879097,0.79758620262146,123.89158049970865
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],8,optics,120,0.005604669451713562,120.07792124897242,2.659487947821617,1.3863735869526863,124.12938745319843
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],9,optics,120,0.00509362667798996,120.78451685607433,2.682628944516182,1.3757294416427612,124.84796886891127
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],10,optics,120,0.005323655903339386,120.91538649052382,2.719711773097515,1.5976107195019722,125.23803263902664
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],11,optics,120,0.00504661351442337,122.17455707490444,2.968477711081505,1.2489065825939178,126.39698798209429
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],12,optics,120,0.005062460899353027,123.96113765239716,4.99283130466938,1.6781603693962097,130.6371917873621
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],13,joint,120,0.00447005033493042,125.32434832304716,2.4847387596964836,0.5986782237887383,128.4122353568673
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],14,joint,120,0.002874404191970825,129.6931638866663,2.8408426642417908,1.1173179373145103,133.65419889241457
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],15,joint,120,0.0043471455574035645,127.80082938820124,2.8196940273046494,0.6769904270768166,131.3018609881401
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],16,joint,120,0.0028264224529266357,124.98479751497507,2.5652396604418755,1.916553907096386,129.46941750496626
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],17,joint,120,0.0027209818363189697,124.93123830109835,2.7259444817900658,0.8056245744228363,128.46552833914757
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],18,joint,120,0.002644076943397522,127.27923035621643,2.676263563334942,1.061406247317791,131.01954424381256
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],19,joint,120,0.0027526691555976868,125.78808189928532,2.5873168036341667,1.8976961746811867,130.27584754675627
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],20,joint,120,0.002676665782928467,125.99302589148283,2.6644599810242653,2.047571673989296,130.70773421227932
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],21,joint,120,0.004123762249946594,125.06612802296877,2.483409561216831,0.85941481590271,128.41307616233826
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],22,joint,120,0.0030429959297180176,126.10426969826221,2.65412288159132,0.6711517348885536,129.4325873106718
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],23,joint,120,0.0036293789744377136,125.59155071526766,2.723064564168453,1.291541501879692,129.60978616029024
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],24,joint,120,0.0027144700288772583,132.11062414944172,3.0473597422242165,1.776131235063076,136.9368295967579
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],25,joint,120,0.003056652843952179,137.01291200518608,3.0594653710722923,0.9427914544939995,141.01822548359632
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],26,joint,120,0.0028626248240470886,139.23544520884752,2.8891428783535957,0.8635286912322044,142.99097940325737
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],27,joint,120,0.0030620023608207703,139.07585459947586,3.1313986480236053,0.7084687054157257,142.918783955276
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],28,joint,120,0.0027936026453971863,139.92038422822952,3.0434212163090706,1.591015212237835,144.55761425942183
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],29,joint,120,0.0028785690665245056,139.15422594547272,2.865588001906872,0.8214851319789886,142.8441776484251
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],30,joint,120,0.002713598310947418,137.70916690677404,5.6740920171141624,0.906243123114109,144.29221564531326
caltech,qwen_vision_lora,20260908_v4_formal_caltech_qwen_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,"[3754332, 3878765, 3978128]",1,experts,120,0.004167795181274414,113.8784580975771,3.083160988986492,0.7586023434996605,117.72438922524452
caltech,qwen_vision_lora,20260908_v4_formal_caltech_qwen_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,"[3754332, 3878765, 3978128]",2,experts,120,0.005087561905384064,117.52185389399529,3.0024770125746727,1.596127338707447,122.12554580718279
caltech,qwen_vision_lora,20260908_v4_formal_caltech_qwen_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,"[3754332, 3878765, 3978128]",3,experts,120,0.007296726107597351,110.80576717108488,3.0812450274825096,1.1811187490820885,115.07542767375708
caltech,qwen_vision_lora,20260908_v4_formal_caltech_qwen_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,"[3754332, 3878765, 3978128]",4,experts,120,0.004634298384189606,109.9028018116951,5.266959898173809,1.244374044239521,116.41877005249262
