dataset,method,run_id,selected_epoch,top1_percent,top3_percent,mrr,train_seconds_mean,epoch_seconds_mean,train_seconds_total,epoch_seconds_total,gpu_uuid,gpu_model,run_wall_seconds,foreign_gpu_pids,peak_memory_gib,expert_rms_rad,global_rms_rad,vision_experts_used_selected_epoch,language_experts_used_selected_epoch,generator_trainable_parameters
caltech,direct,20260908_v4_formal_caltech_direct_s42,28,81.99999928474426,94.49999928474426,0.888936460018158,71.44664693226417,74.56822305843234,2143.399407967925,2237.04669175297,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,2293.0933470726013,[],7.130349636077881,1.6485555171966553,0.3216029107570648,4,2,0
caltech,clip_vision_lora,20260908_v4_formal_caltech_clip_vision_lora_s42,27,83.49999785423279,93.99999976158142,0.8912757635116577,80.19140582829714,83.72740714401007,2405.742174848914,2511.822214320302,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,2570.318058490753,[],8.67781686782837,0.9763863682746887,0.3736141324043274,4,2,766616
caltech,qwen_vision_pooled_lora,20260908_v4_formal_caltech_qwen_vision_pooled_lora_s42,28,80.50000071525574,93.00000071525574,0.871644914150238,124.39576588993272,128.5854956097901,3731.8729766979814,3857.5648682937026,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,3927.2256138324738,[],10.038297653198242,0.9447685480117798,0.38500404357910156,4,2,1258136
caltech,qwen_vision_lora,20260908_v4_formal_caltech_qwen_vision_lora_s42,28,80.0000011920929,93.50000023841858,0.8728750348091125,149.80071118945878,154.9084454183777,4494.021335683763,4647.2533625513315,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,4740.342615842819,"[3754332, 3878765, 3978128]",10.035579204559326,0.950096607208252,0.4280097186565399,4,2,1258136
caltech,qwen_vision_global_lora,20260908_v4_formal_caltech_qwen_vision_global_lora_s42,30,80.50000071525574,92.5000011920929,0.8744364380836487,130.51495795423787,135.1272127551337,3915.4487386271358,4053.8163826540112,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,4137.471666097641,[4011409],10.100281238555908,1.0457662343978882,0.2948237359523773,4,2,1732354
cifar,direct,20260908_v4_formal_cifar_direct_s42,30,50.599998235702515,81.69999718666077,0.6788337230682373,70.07015456383427,75.48094435234864,2102.104636915028,2264.4283305704594,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,2416.3760862350464,[],7.13559627532959,1.6227900981903076,0.26331204175949097,4,2,0
cifar,clip_vision_lora,20260908_v4_formal_cifar_clip_vision_lora_s42,30,48.39999973773956,79.29999828338623,0.65692138671875,79.03310121546188,84.76681362266342,2370.9930364638567,2543.0044086799026,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,2710.451110601425,[],8.678401947021484,0.9877256155014038,0.5283867120742798,4,2,766616
cifar,qwen_vision_pooled_lora,20260908_v4_formal_cifar_qwen_vision_pooled_lora_s42,29,50.0,81.19999766349792,0.6741535663604736,128.71545791278282,135.24968274484078,3861.463737383485,4057.4904823452234,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,4248.984216928482,"[3332960, 3333065, 3366428, 3366481, 3375866, 3421406, 3421451]",10.03608751296997,0.992600679397583,0.5783701539039612,4,2,1258136
cifar,qwen_vision_lora,20260908_v4_formal_cifar_qwen_vision_lora_s42,30,49.90000128746033,79.79999780654907,0.6662004590034485,134.89425965497892,141.7799265789489,4046.8277896493673,4253.397797368467,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,4448.989863157272,[],10.034877300262451,0.9254715442657471,0.43741580843925476,4,2,1258136
cifar,qwen_vision_global_lora,20260908_v4_formal_cifar_qwen_vision_global_lora_s42,30,47.09999859333038,78.1000018119812,0.6482433080673218,147.45715379317602,155.8347913481295,4423.7146137952805,4675.043740443885,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,4832.544630289078,[4021888],10.104243755340576,1.0130218267440796,0.28473198413848877,4,2,1732354
imagenette,direct,20260908_v4_formal_imagenette_direct_s42,25,39.15923535823822,67.08280444145203,0.5729703903198242,59.28998986209432,65.20149690012137,1778.6996958628297,1956.0449070036411,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,2337.869884252548,[],7.133255481719971,1.608721137046814,0.32358112931251526,4,2,0
imagenette,clip_vision_lora,20260908_v4_formal_imagenette_clip_vision_lora_s42,26,38.420382142066956,65.55414199829102,0.5632867813110352,70.08087110295892,76.61931775162617,2102.4261330887675,2298.579532548785,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,2797.512306213379,[],8.677299499511719,0.9977387189865112,0.3701331615447998,4,2,766616
imagenette,qwen_vision_pooled_lora,20260908_v4_formal_imagenette_qwen_vision_pooled_lora_s42,30,39.13375735282898,66.95541143417358,0.5724244713783264,122.01842627078295,130.27426991984248,3660.5527881234884,3908.2280975952744,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,4590.4384765625,[],10.03552532196045,0.9338487982749939,0.45504117012023926,4,2,1258136
imagenette,qwen_vision_lora,20260908_v4_formal_imagenette_qwen_vision_lora_s42,25,37.248408794403076,66.14012718200684,0.5588074326515198,147.6940962250034,159.59728143339356,4430.822886750102,4787.918443001807,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,5399.9368488788605,"[3593969, 3614251, 3832278]",10.031140327453613,0.9257634878158569,0.3959762454032898,4,2,1258136
imagenette,qwen_vision_global_lora,20260908_v4_formal_imagenette_qwen_vision_global_lora_s42,25,36.35668754577637,64.56050872802734,0.5500228404998779,124.00036849876246,132.3753711896638,3720.0110549628735,3971.261135689914,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,NVIDIA GeForce RTX 4090,4516.0155618190765,[],10.104370594024658,0.935694694519043,0.22465582191944122,4,2,1732354
