dataset,method,class,query_count,top1_percent,top3_percent
caltech,direct,airplanes,20,94.9999988079071,100.0
caltech,direct,Motorbikes,20,80.0000011920929,100.0
caltech,direct,Faces,20,94.9999988079071,100.0
caltech,direct,Leopards,20,100.0,100.0
caltech,direct,accordion,20,80.0000011920929,85.00000238418579
caltech,direct,grand_piano,20,85.00000238418579,94.9999988079071
caltech,direct,scorpion,20,20.000000298023224,85.00000238418579
caltech,direct,sunflower,20,94.9999988079071,94.9999988079071
caltech,direct,watch,20,89.99999761581421,100.0
caltech,direct,yin_yang,20,80.0000011920929,85.00000238418579
caltech,clip_vision_lora,airplanes,20,89.99999761581421,100.0
caltech,clip_vision_lora,Motorbikes,20,69.9999988079071,100.0
caltech,clip_vision_lora,Faces,20,100.0,100.0
caltech,clip_vision_lora,Leopards,20,100.0,100.0
caltech,clip_vision_lora,accordion,20,80.0000011920929,85.00000238418579
caltech,clip_vision_lora,grand_piano,20,80.0000011920929,89.99999761581421
caltech,clip_vision_lora,scorpion,20,44.999998807907104,80.0000011920929
caltech,clip_vision_lora,sunflower,20,94.9999988079071,94.9999988079071
caltech,clip_vision_lora,watch,20,94.9999988079071,100.0
caltech,clip_vision_lora,yin_yang,20,80.0000011920929,89.99999761581421
caltech,qwen_vision_pooled_lora,airplanes,20,89.99999761581421,94.9999988079071
caltech,qwen_vision_pooled_lora,Motorbikes,20,85.00000238418579,100.0
caltech,qwen_vision_pooled_lora,Faces,20,89.99999761581421,94.9999988079071
caltech,qwen_vision_pooled_lora,Leopards,20,100.0,100.0
caltech,qwen_vision_pooled_lora,accordion,20,64.99999761581421,100.0
caltech,qwen_vision_pooled_lora,grand_piano,20,69.9999988079071,85.00000238418579
caltech,qwen_vision_pooled_lora,scorpion,20,44.999998807907104,80.0000011920929
caltech,qwen_vision_pooled_lora,sunflower,20,94.9999988079071,94.9999988079071
caltech,qwen_vision_pooled_lora,watch,20,89.99999761581421,100.0
caltech,qwen_vision_pooled_lora,yin_yang,20,75.0,80.0000011920929
caltech,qwen_vision_lora,airplanes,20,89.99999761581421,94.9999988079071
caltech,qwen_vision_lora,Motorbikes,20,89.99999761581421,100.0
caltech,qwen_vision_lora,Faces,20,100.0,100.0
caltech,qwen_vision_lora,Leopards,20,100.0,100.0
caltech,qwen_vision_lora,accordion,20,69.9999988079071,85.00000238418579
caltech,qwen_vision_lora,grand_piano,20,75.0,94.9999988079071
caltech,qwen_vision_lora,scorpion,20,15.000000596046448,80.0000011920929
caltech,qwen_vision_lora,sunflower,20,94.9999988079071,94.9999988079071
caltech,qwen_vision_lora,watch,20,85.00000238418579,100.0
caltech,qwen_vision_lora,yin_yang,20,80.0000011920929,85.00000238418579
caltech,qwen_vision_global_lora,airplanes,20,94.9999988079071,100.0
caltech,qwen_vision_global_lora,Motorbikes,20,64.99999761581421,94.9999988079071
caltech,qwen_vision_global_lora,Faces,20,94.9999988079071,94.9999988079071
caltech,qwen_vision_global_lora,Leopards,20,100.0,100.0
caltech,qwen_vision_global_lora,accordion,20,75.0,89.99999761581421
