dataset,method,stage,epochs,gpu_uuid,gpu_model,run_foreign_gpu_pids,train_seconds_mean,epoch_seconds_mean
caltech,direct,experts,4,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],49.57535010576248,52.664310324937105
caltech,direct,optics,8,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],70.85848017409444,73.84174795821309
caltech,direct,joint,18,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],76.56834256400664,79.75863704375095
caltech,clip_vision_lora,experts,4,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],60.97808911278844,65.10855524614453
caltech,clip_vision_lora,optics,8,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],82.16202440112829,85.73749243468046
caltech,clip_vision_lora,joint,18,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],83.58520128826301,86.97155854768224
caltech,qwen_vision_pooled_lora,experts,4,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],102.33409817703068,106.76990464143455
caltech,qwen_vision_pooled_lora,optics,8,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],121.22016336861998,125.52057587727904
caltech,qwen_vision_pooled_lora,joint,18,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[],130.70973761338325,134.7955912616518
caltech,qwen_vision_lora,experts,4,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,"[3754332, 3878765, 3978128]",113.02722024358809,117.83603318966925
caltech,qwen_vision_lora,optics,8,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,"[3754332, 3878765, 3978128]",130.13169177342206,134.57066093478352
caltech,qwen_vision_lora,joint,18,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,"[3754332, 3878765, 3978128]",166.71438447344633,172.18577457302146
caltech,qwen_vision_global_lora,experts,4,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[4011409],149.49599013663828,157.04413673840463
caltech,qwen_vision_global_lora,optics,8,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[4011409],130.38176862616092,134.7360523575917
caltech,qwen_vision_global_lora,joint,18,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,NVIDIA GeForce RTX 4090,[4011409],126.3561460595164,130.43063426886997
cifar,direct,experts,4,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[],49.67327709123492,55.42604164034128
cifar,direct,optics,8,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[],68.95765946991742,74.16625954955816
cifar,direct,joint,18,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[],75.09723626615272,80.52189375625716
cifar,clip_vision_lora,experts,4,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[],60.07917193137109,66.18343818187714
cifar,clip_vision_lora,optics,8,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[],79.62318642716855,85.65547559969127
cifar,clip_vision_lora,joint,18,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,[],82.98282540672355,88.50149173082576
cifar,qwen_vision_pooled_lora,experts,4,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,"[3332960, 3333065, 3366428, 3366481, 3375866, 3421406, 3421451]",102.93933489918709,109.64434998854995
cifar,qwen_vision_pooled_lora,optics,8,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,"[3332960, 3333065, 3366428, 3366481, 3375866, 3421406, 3421451]",124.91069579683244,131.64327663742006
cifar,qwen_vision_pooled_lora,joint,18,GPU-d53ce4c8-272d-c2fb-dc09-f182d586c4eb,NVIDIA GeForce RTX 3090,"[3332960, 3333065, 3366428, 3366481, 3375866, 3421406, 3421451]",136.13449063400427,142.54260384953685
