method,run_id,gpu_uuid,foreign_gpu_pids,epoch,stage,steps,setup_seconds,train_loop_seconds,evaluation_and_audit_seconds,checkpoint_and_logs_seconds,epoch_wall_seconds
direct,20260908_v4_timing_cifar_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],1,experts,120,0.003005608916282654,46.484116576611996,3.92043100297451,0.12476611882448196,50.53231930732727
direct,20260908_v4_timing_cifar_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],2,experts,120,0.003123052418231964,49.47854495048523,10.12068846076727,0.36928343772888184,59.97163990139961
direct,20260908_v4_timing_cifar_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],3,optics,120,0.0035934671759605408,67.89329832792282,3.7874576821923256,0.15970521420240402,71.84405469149351
direct,20260908_v4_timing_cifar_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],4,optics,120,0.003204137086868286,63.21830713748932,7.703181356191635,0.4304950684309006,71.35518769919872
direct,20260908_v4_timing_cifar_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],5,joint,120,0.0017702803015708923,65.14916465431452,4.222320832312107,0.32686949521303177,69.70012526214123
direct,20260908_v4_timing_cifar_direct_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],6,joint,120,0.002229936420917511,64.33992521464825,7.520086050033569,0.5962788015604019,72.45852000266314
clip_vision_lora,20260908_v4_timing_cifar_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],1,experts,120,0.0038594305515289307,53.73861330002546,3.9314753264188766,0.28518766909837723,57.959135726094246
clip_vision_lora,20260908_v4_timing_cifar_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],2,experts,120,0.004026755690574646,53.16171830892563,7.572027452290058,0.8593808189034462,61.59715333580971
clip_vision_lora,20260908_v4_timing_cifar_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],3,optics,120,0.00411631166934967,69.36169245839119,4.001324191689491,0.9786793813109398,74.34581234306097
clip_vision_lora,20260908_v4_timing_cifar_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],4,optics,120,0.004029102623462677,68.68493346869946,7.356013976037502,0.8447199165821075,76.88969646394253
clip_vision_lora,20260908_v4_timing_cifar_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],5,joint,120,0.0026574358344078064,72.40610165148973,3.51898430287838,1.1994006857275963,77.12714407593012
clip_vision_lora,20260908_v4_timing_cifar_clip_vision_lora_s42,GPU-4d8bfdb9-8777-05a6-3811-ab18ff4eadfd,[],6,joint,120,0.0023187771439552307,71.42376638948917,7.01711069047451,1.1140161082148552,79.5572119653225
