dataset,method,run_id,epoch,stage,record_elapsed_seconds,record_interval_seconds,measured_steps_2_to_120_seconds,estimated_120_step_seconds,after_last_step_to_record_seconds
caltech,direct,20260908_v3_formal_caltech_direct_s42,1,experts,53.574201084673405,,47.30523135513067,47.702754307694796,1.9618870466947556
caltech,direct,20260908_v3_formal_caltech_direct_s42,2,experts,103.50176601111889,49.927564926445484,46.86930998414755,47.26316973191349,2.1744734719395638
caltech,direct,20260908_v3_formal_caltech_direct_s42,3,experts,153.41613641381264,49.91437040269375,47.12726591527462,47.523293359940794,1.9319431707262993
caltech,direct,20260908_v3_formal_caltech_direct_s42,4,experts,206.0525150373578,52.63637862354517,47.47984120994806,47.87883147221653,4.22827386111021
caltech,direct,20260908_v3_formal_caltech_direct_s42,5,optics,274.495098747313,68.44258370995522,65.45031022280455,66.00031282971887,2.0092336386442184
caltech,direct,20260908_v3_formal_caltech_direct_s42,6,optics,343.7509479895234,69.25584924221039,65.99372712522745,66.54829626073357,2.1040659099817276
caltech,direct,20260908_v3_formal_caltech_direct_s42,7,optics,412.63325467705727,68.88230668753386,66.05951613932848,66.61463812369259,1.9705746993422508
caltech,direct,20260908_v3_formal_caltech_direct_s42,8,optics,481.8200921192765,69.18683744221926,66.1348717585206,66.69062698338212,2.1184049025177956
caltech,direct,20260908_v3_formal_caltech_direct_s42,9,optics,553.0171148180962,71.19702269881964,67.89162622392178,68.4621440913497,2.203468605875969
caltech,direct,20260908_v3_formal_caltech_direct_s42,10,optics,621.0294842422009,68.01236942410469,65.34151857346296,65.89060696483659,1.8832502961158752
caltech,direct,20260908_v3_formal_caltech_direct_s42,11,optics,690.1495965272188,69.12011228501797,66.17340202629566,66.72948103492,2.1076211407780647
caltech,direct,20260908_v3_formal_caltech_direct_s42,12,optics,760.0260651856661,69.87646865844727,65.04790824651718,65.59452932421901,3.9886349588632584
caltech,direct,20260908_v3_formal_caltech_direct_s42,13,joint,832.5764358788729,72.55037069320679,69.22132469713688,69.80301650131449,1.9843869432806969
caltech,direct,20260908_v3_formal_caltech_direct_s42,14,joint,904.7290130108595,72.15257713198662,68.4132981672883,68.98819983255963,2.282332919538021
caltech,direct,20260908_v3_formal_caltech_direct_s42,15,joint,976.7417996227741,72.01278661191463,69.01232129335403,69.59225676640743,1.9087630808353424
caltech,direct,20260908_v3_formal_caltech_direct_s42,16,joint,1048.7353671491146,71.99356752634048,68.8621562346816,69.44082981648566,1.9015761315822601
