method,run_id,gpu_uuid,epoch,stage,steps,setup_seconds,train_loop_seconds,evaluation_and_audit_seconds,checkpoint_and_logs_seconds,epoch_wall_seconds
direct,20260908_v3_timing_cifar_direct_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,1,experts,120,0.0057146549224853516,42.358854845166206,3.38543713837862,0.11184835433959961,45.86185499280691
direct,20260908_v3_timing_cifar_direct_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,2,experts,120,0.0037705525755882263,41.67426436394453,6.795005567371845,0.4326811134815216,48.905721597373486
direct,20260908_v3_timing_cifar_direct_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,3,optics,120,0.0033815577626228333,58.63465882092714,3.5107345953583717,0.2050614356994629,62.3538364097476
direct,20260908_v3_timing_cifar_direct_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,4,optics,120,0.003026925027370453,57.10255540907383,6.703881591558456,0.25645992904901505,64.06592385470867
direct,20260908_v3_timing_cifar_direct_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,5,joint,120,0.001653425395488739,61.06935141980648,3.364441938698292,0.3951674550771713,64.83061423897743
direct,20260908_v3_timing_cifar_direct_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,6,joint,120,0.0014751777052879333,60.12732274830341,6.730481594800949,0.38426630944013596,67.24354583024979
qwen_lora,20260908_v3_timing_cifar_qwen_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,1,experts,120,0.004090078175067902,71.94890329241753,3.7263146564364433,0.4611394926905632,76.1404475197196
qwen_lora,20260908_v3_timing_cifar_qwen_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,2,experts,120,0.004585377871990204,72.61729492992163,7.143061272799969,1.166931539773941,80.93187312036753
qwen_lora,20260908_v3_timing_cifar_qwen_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,3,optics,120,0.007359430193901062,88.39146316051483,3.5847209692001343,1.3361479490995407,93.31969150900841
qwen_lora,20260908_v3_timing_cifar_qwen_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,4,optics,120,0.005578972399234772,87.4761887267232,7.163605205714703,1.2369600161910057,95.88233292102814
qwen_lora,20260908_v3_timing_cifar_qwen_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,5,joint,120,0.003372177481651306,92.27854235470295,3.7424657940864563,0.6300744339823723,96.65445476025343
qwen_lora,20260908_v3_timing_cifar_qwen_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,6,joint,120,0.003402821719646454,92.86066322028637,8.150088392198086,1.598384790122509,102.61253922432661
clip_lora,20260908_v3_timing_cifar_clip_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,1,experts,120,0.0030975714325904846,49.995413318276405,3.5953861251473427,0.2266426905989647,53.8205397054553
clip_lora,20260908_v3_timing_cifar_clip_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,2,experts,120,0.0037193968892097473,49.22833149880171,6.99298245459795,0.5997303202748299,56.8247636705637
clip_lora,20260908_v3_timing_cifar_clip_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,3,optics,120,0.003915898501873016,66.16837777942419,3.5349565222859383,0.6942919492721558,70.40154214948416
clip_lora,20260908_v3_timing_cifar_clip_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,4,optics,120,0.004110313951969147,66.06299029290676,6.941426403820515,0.35344938188791275,73.36197639256716
clip_lora,20260908_v3_timing_cifar_clip_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,5,joint,120,0.0024162158370018005,72.390381321311,3.5899428948760033,0.5087835639715195,76.49152399599552
clip_lora,20260908_v3_timing_cifar_clip_lora_s42,GPU-e8837b85-d55b-8e81-aaa5-ec1ac326932d,6,joint,120,0.002933107316493988,67.96761041879654,6.753530465066433,0.4498964324593544,75.17397042363882
