epoch,learning_rate,adapter_learning_rate,readout_learning_rate,router_learning_rate,phase_learning_rate,phase_focus_epoch,learning_rate_scale,total_loss,kd_loss,relational_kd_loss,retrieval_loss,gallery_loss,teacher_gallery_loss,router_balance_loss,router_importance_loss,router_response_consistency_loss,phase_dc_loss,phase_dc_weighted_loss,ccd_operating_point_loss,ccd_operating_point_weighted_loss,phase_dc_current_loss,phase_dc_rho_mean,phase_dc_rho_max,phase_dc_plane_count,vision_router_entropy,language_router_entropy,vision_router_active_experts,language_router_active_experts,vision_router_max_importance,language_router_max_importance,vision_router_min_selection_count,vision_router_max_selection_count,vision_router_unselected_experts,language_router_min_selection_count,language_router_max_selection_count,language_router_unselected_experts,phase_grad_rms,phase_grad_max,phase_grad_missing_planes,vision_expert_phase_grad_rms,vision_expert_phase_grad_max,vision_expert_phase_grad_missing_planes,vision_global_phase_grad_rms,vision_global_phase_grad_max,vision_global_phase_grad_missing_planes,language_expert_phase_grad_rms,language_expert_phase_grad_max,language_expert_phase_grad_missing_planes,language_global_phase_grad_rms,language_global_phase_grad_max,language_global_phase_grad_missing_planes,phase_physical_std_rad,phase_delta_from_pi_rms_rad,phase_delta_run_rms_rad,phase_delta_epoch_rms_rad,phase_raw_abs_mean,phase_sigmoid_saturation_fraction_abs_raw_gt_4,vision_expert_phase_std_rad,vision_expert_phase_delta_run_rms_rad,vision_expert_phase_delta_epoch_rms_rad,vision_expert_phase_moved_fraction_gt_0p01,vision_global_phase_std_rad,vision_global_phase_delta_run_rms_rad,vision_global_phase_delta_epoch_rms_rad,vision_global_phase_moved_fraction_gt_0p01,language_expert_phase_std_rad,language_expert_phase_delta_run_rms_rad,language_expert_phase_delta_epoch_rms_rad,language_expert_phase_moved_fraction_gt_0p01,language_global_phase_std_rad,language_global_phase_delta_run_rms_rad,language_global_phase_delta_epoch_rms_rad,language_global_phase_moved_fraction_gt_0p01,trainable_tensors_without_gradient,samples,model_forward_samples,train_top1,train_top3,train_mrr,train_metric_definition,epoch_time_sec,test_top1,test_top3,test_mrr,ema_test_top1,ema_test_top3,ema_test_mrr,checkpoint_selected_by
1,0.0001,0.0001,5e-05,5e-05,0.0,False,0.3333333333333333,3.6656470987733325,0.0,0.0,2.096631223257957,1.53110295602124,0.0,0.0,0.0,0.0,0.0,0.0,1.895645580817538,0.03791291161635076,0.0,0.0,0.0,0,0.9988081219531737,0.9974589918956104,2.0,2.555133079847909,0.2652753695788945,0.28623044139532083,0,2630,2,180,2630,0,4.295759396200083e-05,0.0030950417006221998,0.0,4.9208663313038414e-06,0.0001671273147232049,0.0,4.595167297338776e-06,0.00016950572327394703,0.0,6.180862863353858e-05,0.0027449331180702885,0.0,5.918770811165684e-05,0.002763171338821329,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.34600760456273766,0.7422053231939163,0.5720278953871346,episodic in-batch query vs randomly selected support prototypes,127.58471475541592,0.47999998927116394,0.7699999809265137,0.6432162523269653,0.4399999976158142,0.7099999785423279,0.6095060110092163,training_total_loss
2,0.0001,0.0001,5e-05,5e-05,0.0,False,0.6666666666666666,3.1582379644814553,0.0,0.0,1.8125875172959534,1.3081158623949203,0.0,0.0,0.0,0.0,0.0,0.0,1.8767293193041146,0.03753458638608229,0.0,0.0,0.0,0,0.9976276533231989,0.9897198493489747,2.041825095057034,2.4980988593155895,0.28228580951690674,0.32243140852043384,7,2630,0,465,2630,0,8.29683299343742e-05,0.005435221554112754,0.0,1.0656652778249867e-05,0.00032430375826412013,0.0,1.0563869344488402e-05,0.0003738560979919774,0.0,0.00012136043655378412,0.0051683021624090286,0.0,0.00011146302985512843,0.0048118984684281585,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.4935361216730038,0.8532319391634982,0.6835234598515152,episodic in-batch query vs randomly selected support prototypes,63.807372972369194,0.5600000023841858,0.7599999904632568,0.6969821453094482,0.5649999976158142,0.7649999856948853,0.6954324841499329,training_total_loss
3,0.0001,0.0001,5e-05,5e-05,0.0,False,1.0,2.982602137576491,0.0,0.0,1.717307288383803,1.2314814204498843,0.0,0.0,0.0,0.0,0.0,0.0,1.6906712340764674,0.03381342468152934,0.0,0.0,0.0,0,0.9101965778680808,0.9038079838789008,2.570342205323194,2.5893536121673004,0.4559937029963664,0.4829987101681785,100,2630,0,575,2630,0,6.759517217298188e-05,0.004159615857393614,0.0,7.362174008968785e-06,0.00029428605453826355,0.0,6.707301606313974e-06,0.00028008243368406383,0.0,9.565103875632173e-05,0.003806470932821477,0.0,9.417382164299073e-05,0.00392006804967033,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.5315589353612167,0.8760456273764259,0.7108365136860895,episodic in-batch query vs randomly selected support prototypes,53.985622614622116,0.574999988079071,0.8199999928474426,0.7148908376693726,0.5950000286102295,0.800000011920929,0.7228372693061829,training_total_loss
4,0.0001,0.0001,5e-05,5e-05,0.0,False,0.9992465194940081,2.674122047288336,0.0,0.0,1.536748074363393,1.1097548554152137,0.0,0.0,0.0,0.0,0.0,0.0,1.3809557446055538,0.02761911489211108,0.0,0.0,0.0,0,0.4926299733807379,0.723768818287795,2.9923954372623576,2.1520912547528517,0.809956073307719,0.6641655877062577,173,2630,0,387,2630,0,4.779279408597047e-05,0.0029709630751832655,0.0,5.778452678636573e-06,0.00024162336610191102,0.0,5.440668944954398e-06,0.0002476539411873091,0.0,7.247825651899933e-05,0.002952782031310822,0.0,6.182837939507278e-05,0.002393874442142468,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.596958174904943,0.8950570342205323,0.7556907560435538,episodic in-batch query vs randomly selected support prototypes,47.61579155176878,0.6000000238418579,0.8700000047683716,0.7345733642578125,0.6100000143051147,0.8199999928474426,0.7399603128433228,training_total_loss
5,0.0001,0.0001,5e-05,5e-05,0.0,False,0.9969768546962632,2.495703662076377,0.0,0.0,1.4459265020637004,1.0245500446045808,0.0,0.0,0.0,0.0,0.0,0.0,1.2613558524461754,0.025227117048923508,0.0,0.0,0.0,0,0.26855784303335184,0.5299691858173776,2.9277566539923954,2.418250950570342,0.9179641350593857,0.7935179725799271,144,2630,0,258,2630,0,2.4998204967882236e-05,0.0014451587131978677,0.0,4.937492284235694e-06,0.00020963081052676507,0.0,4.814784574591613e-06,0.0002054449838137121,0.0,3.681982817787295e-05,0.0013189878830287074,0.0,3.3275264968324336e-05,0.0012966595739791436,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.6212927756653992,0.9186311787072243,0.7724334704105392,episodic in-batch query vs randomly selected support prototypes,48.59809070080519,0.6299999952316284,0.8399999737739563,0.7524901628494263,0.6650000214576721,0.8299999833106995,0.7710317373275757,training_total_loss
6,0.0001,0.0001,5e-05,5e-05,0.0,False,0.9931978875247613,2.274718872721204,0.0,0.0,1.301837801310046,0.9482948207243314,0.0,0.0,0.0,0.0,0.0,0.0,1.2293127317392327,0.024586254634784657,0.0,0.0,0.0,0,0.20439594185171017,0.47079751575401074,3.307984790874525,2.3536121673003803,0.942157598276102,0.8260003301127329,417,2630,0,223,2630,0,2.6203501030457638e-05,0.0014100080630409398,0.0,7.4614550515304605e-06,0.000333391940200402,0.0,6.52230135399025e-06,0.00032246450947630886,0.0,3.786383786064107e-05,0.001264155372544857,0.0,3.474425453272748e-05,0.0012595639564096928,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.6737642585551331,0.9269961977186312,0.8016223160486258,episodic in-batch query vs randomly selected support prototypes,47.86062325537205,0.6600000262260437,0.875,0.7777042984962463,0.6449999809265137,0.8399999737739563,0.7613630890846252,training_total_loss
7,0.0001,0.0001,5e-05,5e-05,0.0,False,0.9879210945786006,2.1624936650121165,0.0,0.0,1.2572461874560654,0.881374900671919,0.0,0.0,0.0,0.0,0.0,0.0,1.1936291614866075,0.02387258322973215,0.0,0.0,0.0,0,0.15554494130294133,0.3547692283024806,3.585551330798479,2.532319391634981,0.9589214991254045,0.8818332575573214,333,2630,0,362,2630,0,1.806964636281399e-05,0.0007955915207276121,0.0,7.996276817071443e-06,0.00038571715724953847,0.0,7.340561426514926e-06,0.00034786112207387177,0.0,2.49196125423623e-05,0.0007054027773847338,0.0,2.3417356097914827e-05,0.0007362553255266643,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.6988593155893537,0.935361216730038,0.8181495647466681,episodic in-batch query vs randomly selected support prototypes,43.14813073724508,0.6600000262260437,0.8450000286102295,0.771043598651886,0.6800000071525574,0.8650000095367432,0.7874881029129028,training_total_loss
8,0.0001,0.0001,5e-05,5e-05,0.0,False,0.9811625013045278,1.982217442003493,0.0,0.0,1.1425799684096198,0.8161524998257822,0.0,0.0,0.0,0.0,0.0,0.0,1.1742487620038224,0.02348497524007645,0.0,0.0,0.0,0,0.12431979986764632,0.29649170847900014,3.6692015209125475,2.311787072243346,0.9688498844665266,0.9071473714969911,729,2630,0,198,2630,0,1.670010026698167e-05,0.0007048983659063067,0.0,8.268913331578784e-06,0.0004249833010752419,0.0,7.94352292489618e-06,0.0004532384804666175,0.0,2.268150475564263e-05,0.0006310840898160157,0.0,2.1451336384156354e-05,0.0006191080267724049,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.7285171102661597,0.9513307984790874,0.8402534930878266,episodic in-batch query vs randomly selected support prototypes,43.10384291410446,0.6800000071525574,0.8600000143051147,0.7872619032859802,0.699999988079071,0.8700000047683716,0.802351176738739,training_total_loss
9,0.0001,0.0001,5e-05,5e-05,0.0,False,0.9729426333281841,1.91087608328337,0.0,0.0,1.1001796188406618,0.7874160347216029,0.0,0.0,0.0,0.0,0.0,0.0,1.1640215441301296,0.02328043088260259,0.0,0.0,0.0,0,0.10511131077551569,0.2748087463270122,3.494296577946768,2.3422053231939164,0.9745815258062385,0.9158930332035167,236,2630,0,261,2630,0,1.3889189209034417e-05,0.000580313295358792,0.0,9.216660942001909e-06,0.000394841845263727,0.0,7.89379729277633e-06,0.00036183201986464804,0.0,1.8408575929892583e-05,0.0005258233151315446,0.0,1.6719359304521015e-05,0.0005343183739958997,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.7254752851711027,0.9475285171102662,0.8381749115062758,episodic in-batch query vs randomly selected support prototypes,44.04871241003275,0.7049999833106995,0.8999999761581421,0.8135595917701721,0.7099999785423279,0.8899999856948853,0.8150237798690796,training_total_loss
10,0.0001,0.0001,5e-05,5e-05,0.0,False,0.9632864541184547,1.8906552818508202,0.0,0.0,1.087489229141816,0.7801670549940247,0.0,0.0,0.0,0.0,0.0,0.0,1.1499499930175086,0.022998999860350172,0.0,0.0,0.0,0,0.08840722383881704,0.22287670673073018,3.7870722433460076,2.171102661596958,0.9793628821354855,0.9357372418102656,569,2630,0,270,2630,0,1.3418978856602085e-05,0.000626758740898887,0.0,1.0555455933821836e-05,0.0005051805991180507,0.0,9.91142704671282e-06,0.00046847079439820457,0.0,1.655754765904151e-05,0.0004998407057428267,0.0,1.475018007113249e-05,0.0004928440009410094,0.0,0.03136559575796127,0.03136562556028366,0.0,0.0,0.01592807099223137,0.0,0.031409479677677155,0.0,0.0,0.0,0.03135201707482338,0.0,0.0,0.0,0.03138719126582146,0.0,0.0,0.0,0.031321294605731964,0.0,0.0,0.0,0,2630,2630,0.7384030418250951,0.9528517110266159,0.8445880917088614,episodic in-batch query vs randomly selected support prototypes,41.519297286868095,0.75,0.8999999761581421,0.8320536017417908,0.7350000143051147,0.8899999856948853,0.8291786313056946,training_total_loss
