epoch,training_phase,learning_rate_optical,learning_rate_phase,learning_rate_router,learning_rate_recombiner,learning_rate_head,train_loss,train_segmentation_loss,train_bce,train_dice_loss,train_soft_iou_loss,train_boundary_loss,train_router_balance,train_router_importance,train_ccd_operating,train_mean_iou,train_mean_dice,train_mae,train_pixel_accuracy,train_sensitivity,train_specificity,test_loss,test_mean_iou,test_mean_dice,test_mae,test_pixel_accuracy,test_sensitivity,test_specificity,alpha,epoch_time_sec
1,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,1.663575488196479,1.631232885254754,0.4187016387780507,0.49247348056899176,0.6415014719963074,0.9557266571786669,1.325959071053399,0.4448655774858263,1.617130479812622,0.5976052638215738,0.7164827062417236,0.3067475162774257,0.8524245544571996,0.7169945389697321,0.9077450673600944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.22358499467373
2,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,1.39762434747484,1.3738793987698026,0.32893275684780543,0.39964543925391305,0.5505630437533061,0.9295156852404276,1.8154718637466432,2.003939264085558,1.187247299618191,0.670646370107101,0.7793768128256003,0.21948577958710339,0.8852053881448413,0.7435843386302956,0.9429167907680305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.65530902892351
3,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,1.2316708061430188,1.209468593067593,0.28411840425597296,0.3365444139639537,0.48288105249404906,0.9065799366103279,1.9177521149317422,2.526987681918674,1.1101107279459634,0.7088766702595685,0.8107079687962929,0.17190758988430171,0.899914168792517,0.7569541820598661,0.9579292604825927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.93769036233425
4,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,1.1100928921169704,1.0884366210301717,0.25928869280550215,0.2869383880827162,0.4260971278614468,0.8905467891693115,1.9515736484527588,2.7163324228922527,1.082813491821289,0.7317779850256112,0.8289716607001093,0.14156506847632444,0.9083983046343538,0.7646034606877955,0.9669240062698214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.79569996893406
5,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,1.0273315848244562,1.0059452480740017,0.24288188563452826,0.253461351858245,0.3850730901294284,0.8831887992223104,1.9665654124153984,2.8025482506222197,1.0693167803022596,0.7440844756045973,0.8384831839138254,0.12376302688840836,0.9141554173752835,0.7800499466026858,0.9688109554903438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.41229506582022
6,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,0.9560992974705166,0.9348330060640971,0.23067152433925206,0.2247407113843494,0.34886056383450825,0.8711013754208883,1.9757215224372016,2.8559704621632895,1.063314438925849,0.7576613568059273,0.848482954957419,0.11063750083214031,0.9184661546910431,0.7870622165140996,0.9719878688101784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.05275674164295
7,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,0.8861275662316216,0.8649897760815091,0.21195000529289246,0.20042972140842014,0.3170812092887031,0.8591965881983439,1.9814915551079644,2.889799771838718,1.0568896828757393,0.7729402036933849,0.8597739927574164,0.09924382830423022,0.9247639420351474,0.8032644741559596,0.9742971073319927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.984973073005676
8,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,0.8334159790145026,0.8123827746179368,0.1922953976194064,0.18450984723038144,0.29643399397532144,0.8530081330405341,1.9853589736090766,2.9126793013678656,1.0516602860556707,0.7827988909019364,0.867822535617484,0.09148181867707614,0.9298750841482426,0.8190959901929654,0.9751028898535556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.51961210370064
9,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,0.8006150849660237,0.7796397556198967,0.18788164963324866,0.171554830537902,0.27819986038737826,0.846213525666131,1.9881350649727716,2.9291616778903538,1.0487663698196412,0.7895906555021389,0.8725238675396475,0.08535979033057112,0.9339004482001134,0.8363609061617866,0.9736122530815909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.96152600646019
10,joint_end_to_end,0.0001,0.0001,5e-05,5e-05,0.0003,0.7545192208555009,0.7335733919673496,0.172064239581426,0.15778971738285488,0.25961935804949865,0.8360196606318155,1.990166901482476,2.9412528059217666,1.0472913932800294,0.8001037687063217,0.8807097993956672,0.080173405216935,0.9378781356292517,0.8545753931386181,0.9717654331648731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.4507110118866
