epoch,epoch_time_sec,train_loss,train_heatmap_loss,train_coordinate_loss,train_router_balance_loss,train_router_importance_loss,train_phase_dc_loss,train_router_entropy,train_teacher_distill_loss,train_router_response_loss,train_pck_at_0.2_torso,train_pckh_at_0.5_head,train_mean_pixel_error,train_normalized_mean_error_torso,train_evaluated_joints,train_pck_evaluated_joints,train_pckh_evaluated_joints,train_samples,test_loss,test_heatmap_loss,test_coordinate_loss,test_pck_at_0.2_torso,test_pckh_at_0.5_head,test_mean_pixel_error,test_normalized_mean_error_torso,test_evaluated_joints,test_pck_evaluated_joints,test_pckh_evaluated_joints,test_samples,test_phase,test_epoch,test_model
1,939.4048948064446,0.055972334507625586,0.0041337022038071625,0.3051778487275284,1.9538034338762718,2.777786629612436,0.0,0.09463248957351485,0.0,0.0,0.08055772846418818,0.2566162538326386,82.76229910073314,1.1234760858180712,145758,145734,145135,10428,0.02932454089820385,0.0036890808418393135,0.2563545967340469,0.2827142857142857,0.5195,35.295389840523576,0.5380959371542269,14000,14000,14000,1000,student_test,1,student
2,181.0598310381174,0.054733009246582726,0.0038404451881610016,0.3045367425515545,1.9990000163269628,2.993995208506114,0.0,0.004983295344218532,0.0,0.0,0.11561708871615085,0.3326835920818812,62.476898569743504,0.8433969229420468,145757,145757,145186,10428,0.02923089875280857,0.003614599782973528,0.25616298604011534,0.30992857142857144,0.5393571428571429,34.54165615812663,0.5253858286512457,14000,14000,14000,1000,student_test,2,student
3,183.79239763319492,0.054549950377541935,0.0038061328237646947,0.3036903315775688,1.999748218731721,2.9984862852883056,0.0,0.001447344059990894,0.0,0.0,0.1381550514162625,0.35003580576748283,62.05287336832999,0.8399393813205691,145771,145771,145228,10428,0.029069351509213446,0.0034577720928937196,0.25611579179763794,0.347,0.55,34.858786027055764,0.5301301201876555,14000,14000,14000,1000,student_test,3,student
4,215.30273220688105,0.054529442485832004,0.003748503497290512,0.3043253235561801,1.999931109879819,2.9995853940234314,0.0,0.00044435098653678514,0.0,0.0,0.1717613807864336,0.3771993251385876,60.82765132024692,0.8219867308322001,145784,145772,145215,10428,0.028881470948457718,0.003296933766454458,0.25584536719322204,0.3807857142857143,0.5600714285714286,35.33075097298729,0.5373304553638117,14000,14000,14000,1000,student_test,4,student
5,179.37922778725624,0.054400266990162746,0.0036831109306378856,0.3038388549149791,1.9999835755022999,2.999901048516148,0.0,0.00011885252189317225,0.0,0.0,0.2024679665355817,0.4027375534409047,59.15668766070724,0.7995527837401074,145731,145707,145020,10428,0.02868761931359768,0.0031383288018405437,0.25549290096759797,0.4079285714285714,0.5856428571428571,34.13370126285723,0.5195395490392144,14000,14000,14000,1000,student_test,5,student
6,322.6234072819352,0.05436021644274851,0.003626401917430196,0.30406758496712855,1.999995936778573,2.9999755190668957,0.0,3.2536114852511624e-05,0.0,0.0,0.22822999986280132,0.42919305976315064,56.960902013927644,0.7686122310336074,145786,145774,145240,10428,0.02857586669921875,0.0030547996778041123,0.25521066510677337,0.4337857142857143,0.6067857142857143,33.02898791578093,0.5022833323948027,14000,14000,14000,1000,student_test,6,student
7,488.6115044429898,0.05429259204103154,0.0035838336541985797,0.30384906501115216,1.9999989892131393,2.9999938422708983,0.0,9.061873243597043e-06,0.0,0.0,0.24969466591648254,0.45236619136185163,54.91632395119453,0.7409308009747705,145777,145742,145170,10428,0.02847805166244507,0.002987886894494295,0.2549016445875168,0.4455,0.6227142857142857,31.680417241352476,0.48135511750586635,14000,14000,14000,1000,student_test,7,student
8,701.3063975051045,0.05419365810191078,0.0035405625487557363,0.30331041952248594,1.9999996864068632,2.999998163070357,0.0,2.7822220692599944e-06,0.0,0.0,0.2703043857061515,0.47352316895002344,52.753415982610534,0.7123035741211451,145780,145769,145108,10428,0.028397036865353584,0.002932313393801451,0.25464723122119903,0.4637142857142857,0.6405,30.164997539655705,0.457907430172002,14000,14000,14000,1000,student_test,8,student
9,510.67534602433443,0.05420037465742323,0.003499201561174615,0.30379951355738066,1.9999999608122896,2.9999997735617945,0.0,9.224395927383259e-07,0.0,0.0,0.2904763864877473,0.4940982139784576,50.89568829708406,0.6855749436184544,145788,145764,145295,10428,0.02831944966316223,0.002870435057207942,0.25449014449119567,0.48328571428571426,0.6553571428571429,28.98644468421835,0.43930188228711176,14000,14000,14000,1000,student_test,9,student
10,405.4411651417613,0.05411755934351927,0.003461432513914142,0.303354552732284,2.0,3.0,0.0,3.9382334133799056e-07,0.0,0.0,0.3076442822250885,0.5098229862705752,49.28309727990051,0.6637715338178938,145756,145756,145017,10428,0.028261978551745413,0.0028315488398075106,0.2543042927980423,0.49214285714285716,0.6632142857142858,28.147632772567285,0.4261964599457871,14000,14000,14000,1000,student_test,10,student
