record_type,run_name,relative_path,target,completion,retention_class,retention_reason,config_relative_path,architecture_label,frame_count,canvas_size,active_size,lane_grid,lane_size,lane_pitch,parallel_expert_size,parallel_expert_pitch,serial_expert_size,top_k,alpha_min,alpha_initial,alpha_max,unmodulated_power_fraction_eval,router_noise_std,phase_learning_rate,router_phase_learning_rate,epochs,batch_size,test_interval_epochs,best_epoch,best_test_srcc,final_test_srcc,final_test_krcc,final_test_plcc,final_test_rmse,final_test_mae,optical_off_srcc,optical_srcc_delta,formal_checkpoint_relative_path,formal_checkpoint_sha256,vision_router_implementation,vision_router_selected_share,language_router_selected_share,run_size_bytes,pt_count,pt_size_bytes,phase_snapshot_count,phase_snapshot_size_bytes,latest_mtime_utc
run,_logs_spatial_tune,runs/_logs_spatial_tune,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",795095,0,0,0,0,2026-09-03T15:54:34.135257+00:00
run,deep_kd_r050_w05,runs/deep_kd_r050_w05,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",42456,0,0,0,0,2026-09-03T12:18:40.642262+00:00
run,deep_kd_r050_w3,runs/deep_kd_r050_w3,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",39578,0,0,0,0,2026-09-03T12:18:40.698261+00:00
run,deep_kd_r100_w1,runs/deep_kd_r100_w1,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",29829,0,0,0,0,2026-09-03T12:18:40.262264+00:00
run,deep_kd_r100_w10,runs/deep_kd_r100_w10,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",29406,0,0,0,0,2026-09-03T12:18:40.378264+00:00
run,deep_kd_r100_w3,runs/deep_kd_r100_w3,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",40794,0,0,0,0,2026-09-03T12:18:40.686261+00:00
run,deep_kd_r200_w3,runs/deep_kd_r200_w3,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",40774,0,0,0,0,2026-09-03T12:18:40.562262+00:00
run,deep_r050_a,runs/deep_r050_a,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:07:26.205876+00:00
run,deep_r050_a_v2,runs/deep_r050_a_v2,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:10:15.951219+00:00
run,deep_r050_a_v3,runs/deep_r050_a_v3,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:12:39.305452+00:00
run,deep_r050_a_v4,runs/deep_r050_a_v4,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",38365,0,0,0,0,2026-09-03T12:15:51.483576+00:00
run,deep_r100_a,runs/deep_r100_a,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:07:26.353873+00:00
run,deep_r100_a_v2,runs/deep_r100_a_v2,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:10:16.011219+00:00
run,deep_r100_a_v3,runs/deep_r100_a_v3,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",666,0,0,0,0,2026-09-03T12:13:46.936736+00:00
run,deep_r100_a_v4,runs/deep_r100_a_v4,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",36423,0,0,0,0,2026-09-03T12:15:51.503576+00:00
run,deep_r100_fast,runs/deep_r100_fast,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:07:26.433872+00:00
run,deep_r100_fast_v2,runs/deep_r100_fast_v2,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:10:16.235215+00:00
run,deep_r100_fast_v3,runs/deep_r100_fast_v3,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:12:39.341452+00:00
run,deep_r100_fast_v4,runs/deep_r100_fast_v4,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",37194,0,0,0,0,2026-09-03T12:15:51.383577+00:00
run,deep_r100_rank,runs/deep_r100_rank,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:07:26.173877+00:00
run,deep_r100_rank_v2,runs/deep_r100_rank_v2,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",666,0,0,0,0,2026-09-03T12:11:32.986224+00:00
run,deep_r100_rank_v3,runs/deep_r100_rank_v3,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:12:39.449450+00:00
run,deep_r100_rank_v4,runs/deep_r100_rank_v4,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",36856,0,0,0,0,2026-09-03T12:15:51.279578+00:00
run,deep_r200_a,runs/deep_r200_a,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:07:26.221876+00:00
run,deep_r200_a_v2,runs/deep_r200_a_v2,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:10:16.047218+00:00
run,deep_r200_a_v3,runs/deep_r200_a_v3,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:12:39.489450+00:00
run,deep_r200_a_v4,runs/deep_r200_a_v4,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",25439,0,0,0,0,2026-09-03T12:15:51.139579+00:00
run,deep_r200_reg,runs/deep_r200_reg,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:07:26.517870+00:00
run,deep_r200_reg_v2,runs/deep_r200_reg_v2,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:10:16.995205+00:00
run,deep_r200_reg_v3,runs/deep_r200_reg_v3,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",0,0,0,0,0,2026-09-03T12:12:39.537450+00:00
run,deep_r200_reg_v4,runs/deep_r200_reg_v4,,empty_or_partial,metrics_only,exploratory checkpoint pruned; configs/logs/metrics/figures retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""","""""",25424,0,0,0,0,2026-09-03T12:15:51.035580+00:00
