owner,runs_root,run_name,run_path,file_count,bytes,gib,checkpoint_count,checkpoint_bytes,best_checkpoint_count,best_checkpoint_paths,has_metrics,has_config,latest_modified_utc,classification,retention_recommendation
experiments/d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400,experiments/d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400/runs,main,experiments/d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400/runs/main,104,6095951481,5.677297,59,6095713591,10,finetune/bp/seed_1234/checkpoints/best_validation.pt|finetune/bp/seed_2345/checkpoints/best_validation.pt|finetune/bp/seed_3456/checkpoints/best_validation.pt|finetune/fa_pretrained/seed_1234/checkpoints/best_validation.pt|finetune/fa_pretrained/seed_2345/checkpoints/best_validation.pt|finetune/fa_pretrained/seed_3456/checkpoints/best_validation.pt|finetune/fa_random/seed_1234/checkpoints/best_validation.pt|finetune/fa_random/seed_2345/checkpoints/best_validation.pt|finetune/fa_random/seed_3456/checkpoints/best_validation.pt|pretrain/checkpoints/pretrained_best_validation.pt,true,true,2026-08-18T08:00:12.249887+00:00,formal_candidate,keep_best_checkpoints_and_metrics; review other checkpoints
experiments/d2nn_cifar100c10_fixed_feedback_20stage400,experiments/d2nn_cifar100c10_fixed_feedback_20stage400/runs,diagnostic_optical09_skip01_20260815,experiments/d2nn_cifar100c10_fixed_feedback_20stage400/runs/diagnostic_optical09_skip01_20260815,10,522800901,0.486896,5,517559032,1,pretrain/checkpoints/pretrained_best_validation.pt,false,true,2026-08-15T02:35:10.335078+00:00,checkpoint_without_clear_best,manual review before pruning
experiments/d2nn_cifar100c10_fixed_feedback_20stage400,experiments/d2nn_cifar100c10_fixed_feedback_20stage400/runs,main,experiments/d2nn_cifar100c10_fixed_feedback_20stage400/runs/main,167,7667614998,7.141023,73,7556261149,10,finetune/bp/seed_1234/checkpoints/best_validation.pt|finetune/bp/seed_2345/checkpoints/best_validation.pt|finetune/bp/seed_3456/checkpoints/best_validation.pt|finetune/fa_pretrained/seed_1234/checkpoints/best_validation.pt|finetune/fa_pretrained/seed_2345/checkpoints/best_validation.pt|finetune/fa_pretrained/seed_3456/checkpoints/best_validation.pt|finetune/fa_random/seed_1234/checkpoints/best_validation.pt|finetune/fa_random/seed_2345/checkpoints/best_validation.pt|finetune/fa_random/seed_3456/checkpoints/best_validation.pt|pretrain/checkpoints/pretrained_best_validation.pt,true,true,2026-08-15T06:52:46.138960+00:00,formal_candidate,keep_best_checkpoints_and_metrics; review other checkpoints
experiments/d2nn_cifar10_high_performance_optical_backbone,experiments/d2nn_cifar10_high_performance_optical_backbone/runs,a02_pool16,experiments/d2nn_cifar10_high_performance_optical_backbone/runs/a02_pool16,6,36550933,0.034041,3,36537050,1,seed_1234/best.pt,false,true,2026-08-18T09:27:41.402680+00:00,checkpoint_without_clear_best,manual review before pruning
experiments/d2nn_cifar10_high_performance_optical_backbone,experiments/d2nn_cifar10_high_performance_optical_backbone/runs,a03_cifar100_pretrain,experiments/d2nn_cifar10_high_performance_optical_backbone/runs/a03_cifar100_pretrain,15,91958121,0.085643,10,91858508,1,seed_1234/best.pt,false,true,2026-08-18T10:25:15.648865+00:00,checkpoint_without_clear_best,manual review before pruning
experiments/d2nn_cifar10_high_performance_optical_backbone,experiments/d2nn_cifar10_high_performance_optical_backbone/runs,a04_cifar100_to_cifar10,experiments/d2nn_cifar10_high_performance_optical_backbone/runs/a04_cifar100_to_cifar10,12,60474385,0.056321,7,60406546,1,seed_1234/best.pt,false,true,2026-08-18T11:02:32.429657+00:00,checkpoint_without_clear_best,manual review before pruning
experiments/d2nn_cifar10_high_performance_optical_backbone,experiments/d2nn_cifar10_high_performance_optical_backbone/runs,a05_refine_a01,experiments/d2nn_cifar10_high_performance_optical_backbone/runs/a05_refine_a01,10,43185585,0.040220,5,43140118,1,seed_1234/best.pt,false,true,2026-08-18T10:38:33.330072+00:00,checkpoint_without_clear_best,manual review before pruning
experiments/d2nn_cifar10_high_performance_optical_backbone,experiments/d2nn_cifar10_high_performance_optical_backbone/runs,a07_high_optical_cifar100_to_cifar10,experiments/d2nn_cifar10_high_performance_optical_backbone/runs/a07_high_optical_cifar100_to_cifar10,12,60475077,0.056322,7,60407186,1,seed_1234/best.pt,false,true,2026-08-18T13:54:09.006950+00:00,checkpoint_without_clear_best,manual review before pruning
experiments/d2nn_cifar10_high_performance_optical_backbone,experiments/d2nn_cifar10_high_performance_optical_backbone/runs,a08_pointwise_electronic_residual,experiments/d2nn_cifar10_high_performance_optical_backbone/runs/a08_pointwise_electronic_residual,12,60736484,0.056565,7,60665458,1,seed_1234/best.pt,false,true,2026-08-18T18:59:11.971634+00:00,checkpoint_without_clear_best,manual review before pruning
experiments/d2nn_cifar10_high_performance_optical_backbone,experiments/d2nn_cifar10_high_performance_optical_backbone/runs,a09_depthwise_electronic_residual,experiments/d2nn_cifar10_high_performance_optical_backbone/runs/a09_depthwise_electronic_residual,11,52237497,0.048650,6,52183892,1,seed_1234/best.pt,false,true,2026-08-18T18:47:14.075105+00:00,checkpoint_without_clear_best,manual review before pruning
