project,role_hint,recommended_source_action,local_present,server_present,github_tracked,local_gib,server_gib,local_files,local_tracked_changes,local_untracked_files,server_tracked_changes,server_untracked_files,imports_projects,imported_by_projects,safe_to_delete_whole_project_now
bdd100k_timeofday3_optical5_vs_cnn,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,19,0,0,0,0,,,no
bdd100k_timeofday3_standard_baselines,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,0,0,0,0,0,,,no
bdd100k_weather4_optical5_mlp,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,13,0,0,0,0,,,no
d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400,owner_review,audit_before_archive_or_delete,False,True,False,0.000,5.678,0,0,0,0,0,,,no
d2nn_cifar100c10_fixed_feedback_20stage400,owner_review,audit_before_archive_or_delete,False,True,False,0.000,7.632,0,0,0,0,0,,,no
d2nn_cifar10_high_performance_optical_backbone,owner_review,audit_before_archive_or_delete,False,True,False,0.000,7.756,0,0,0,0,10,,,no
d2nn_mnist4_single_layer_17um,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.168,30,0,0,0,0,hardware_sdk,,no
d2nn_mnist4_single_layer_17um_10cm,required_dependency,keep_until_refactored,True,True,True,0.000,0.512,44,0,0,0,0,hardware_sdk,d2nn_mnist4_single_layer_17um_10cm_v2,no
d2nn_mnist4_single_layer_17um_10cm_v2,formal_current,publish_and_keep,True,True,True,0.053,2.465,131,0,5,7,1067,d2nn_mnist4_single_layer_17um_10cm;hardware_sdk;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5,,no
fashion_mnist_optical5_continuous,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,16,0,0,0,0,,,no
grocery10_d2nn2_classification_baseline,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.694,25,0,0,0,0,qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
grocery10_electronic_classification_baselines,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.728,25,0,0,0,0,qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
grocery10_electronic_retrieval_baselines,owner_review,audit_before_archive_or_delete,True,True,True,0.000,0.734,27,0,0,0,0,qwen3_vl_embedding_2b_grocery10_optical_retrieval,,no
hardware_sdk,infrastructure_or_handoff,publish_and_keep,True,True,True,2.035,1.234,1532,0,9,0,0,,d2nn_mnist4_single_layer_17um;d2nn_mnist4_single_layer_17um_10cm;d2nn_mnist4_single_layer_17um_10cm_v2;lab_qwen;lgvq_four_stage_optical_electronic_109_no_attention_vqa;qwen3_vl_2b_lgvq_single_metric_o2_16frame_54;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5;qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval;qwen3_vl_embedding_2b_grocery10_optical_retrieval;vision2_hybrid_dense,no
kadid10k_quality3_optical5_electronic_readout,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,16,0,0,0,0,,,no
lab_lgvq,infrastructure_or_handoff,publish_and_keep,True,True,False,0.087,0.087,59,0,56,1,54,lab_qwen,,no
lab_qwen,infrastructure_or_handoff,publish_and_keep,True,True,True,0.147,0.039,317,0,280,2,42,hardware_sdk;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust;qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5;qwen3_vl_embedding_2b_grocery10_optical_retrieval,lab_lgvq,no
lgvq_four_stage_optical_electronic_109_no_attention_vqa,formal_current,publish_and_keep,True,True,False,0.042,6.231,170,0,131,0,397,hardware_sdk,qwen3_vl_2b_lgvq_single_metric_o2_16frame_54,no
optical_mlp_mixer_moe9_imagenet1k_clip_distill,owner_review,audit_before_archive_or_delete,True,True,True,0.000,26.327,45,0,0,0,0,,,no
qwen3_vl_2b_bdd100k_scene4_optical_fullstack4,owner_review,audit_before_archive_or_delete,True,False,False,0.000,0.000,23,0,0,0,0,,,no
