source,destination,file_count,bytes,status
FixedFeedbackSFT/projects/qwen3_vl_patch_stem_8stage_optical_imagenet_backbone/runs,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_optical_imagenet_backbone,104,989364144,moved_and_verified
FixedFeedbackSFT/projects/qwen3_vl_patch_stem_8stage_optical_imagenet_backbone/logs,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_optical_imagenet_backbone/logs,5,279598,moved_and_verified
experiments/d2nn_cifar10_high_performance_optical_backbone/runs,FixedFeedbackSFT/runs/d2nn_cifar10_high_performance_optical_backbone,725,2747109829,moved_and_verified
experiments/d2nn_cifar10_high_performance_optical_backbone/logs,FixedFeedbackSFT/runs/d2nn_cifar10_high_performance_optical_backbone/logs,10,805082,moved_and_verified
experiments/d2nn_cifar100c10_fixed_feedback_20stage400/runs,FixedFeedbackSFT/runs/d2nn_cifar100c10_fixed_feedback_20stage400,132,3532629098,moved_and_verified
experiments/d2nn_cifar100c10_fixed_feedback_20stage400/results,FixedFeedbackSFT/runs/d2nn_cifar100c10_fixed_feedback_20stage400/results,17,2609286,moved_and_verified
experiments/d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400/runs,FixedFeedbackSFT/runs/d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400,77,3306505090,moved_and_verified
experiments/qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone/runs,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone,19,213228155,moved_and_verified
experiments/qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone/logs,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone/logs,2,1145630,moved_and_verified
experiments/qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone/runs,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone,19,213222356,moved_and_verified
experiments/qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone/logs,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone/logs,1,1125369,moved_and_verified
experiments/qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone/runs,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone,19,235938791,moved_and_verified
experiments/qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone/logs,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone/logs,1,1123423,moved_and_verified
