"Name","Files","GiB","LastWrite"
"hardware_sdk","1532","2.035","2026-08-27 14:21"
"qwen_vl_cifar10","45","0.795","2026-07-25 17:10"
"qwen3_vl_8b_multimodal_mlp","27","0.331","2026-07-23 21:04"
"qwen3_vl_8b_vision_mlp","27","0.331","2026-07-23 21:04"
"qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval","306","0.267","2026-08-21 23:10"
"lab_qwen","317","0.147","2026-08-30 20:35"
"qwen3_vl_embedding_2b_caltech101_multiplane_optical_retrieval","75","0.145","2026-08-27 09:01"
"qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5","81","0.096","2026-08-29 21:43"
"lab_lgvq","59","0.087","2026-09-04 10:01"
"d2nn_mnist4_single_layer_17um_10cm_v2","131","0.053","2026-09-04 22:27"
"qwen_optical_platform_handoff","24","0.048","2026-09-04 22:53"
"lgvq_four_stage_optical_electronic_109_no_attention_vqa","170","0.042","2026-09-04 10:01"
"qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_early_robust_tradeoff","60","0.015","2026-09-04 22:27"
"qwen3_vl_2b_lgvq_single_metric_o2_16frame_54","291","0.014","2026-09-04 23:17"
"qwen3_vl_2b_lgvq_temporal_framecount_timing","98","0.003","2026-09-04 22:27"
"qwen3_vl_embedding_2b_grocery10_optical_retrieval","80","0.002","2026-08-30 11:32"
"qwen3_vl_2b_spaq_single_attribute_multimodal_electronic_router_moe16_224","71","0.001","2026-07-26 22:19"
"qwen3_vl_2b_kadid10k_mos_multimodal_electronic_router_moe16_224","59","0.001","2026-07-29 21:22"
"qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval","63","0.001","2026-09-02 02:06"
"qwen3_vl_embedding_2b_abo_product_retrieval_optical_moe16","44","0.001","2026-08-04 01:02"
"qwen3_vl_embedding_2b_awa2_animal10_optical_retrieval","55","0.001","2026-08-11 19:11"
"qwen3_vl_embedding_2b_bdd100k_bench2drive_e2e_optical_moe16","58","0.001","2026-08-04 01:02"
"qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust","53","0.001","2026-08-26 22:10"
"qwen3_vl_2b_openmoji_instruction_four_stage_optical_editing","438","0.001","2026-08-18 17:20"
"qwen3_vl_2b_spaq_single_attribute_multimodal_electronic_router_moe16_224_1layer_baseline","26","0.001","2026-08-04 01:02"
"qwen3_vl_2b_flickr30k_image_text_matching_multimodal_homogeneous_moe9","52","0.001","2026-07-21 23:28"
"qwen3_vl_embedding_2b_caltech101_object10_optical_retrieval","79","0.001","2026-08-12 16:52"
"qwen3_vl_embedding_2b_grocery10_tokenwise_optical_moe4","44","0.001","2026-08-11 09:35"
