relative_path,bytes,modified_utc,sha256
.codex_transfer/caltech_local_fix.bundle,5404,1788019538.247942,150420c128c5ef455856fbd2c36a72c4acb8475420ceada85f6f3180bda9749c
.codex_transfer/caltech_remote_fix.bundle,5435,1788020069.3192368,74e590fec398dc2b684479624a28e0e3e0151b7f04c706dafae386e746e0e9b9
.codex_transfer/early_followup.bundle,4576,1788062606.1318724,0fc82e0699e6ea9b22e70ca3dba7387683dedefb1a424c1682fc3cff9827e22b
.codex_transfer/fresnel_array_c07e1b9f.bundle,10668,1787705940.831605,a3c8c7de8bd94400e7b19ec406784f5df14cd5514869ab93a574efcd8b018862
.codex_transfer/fresnel_docs_HEAD.bundle,1099,1787740724.1766036,26429b32cb66fd3896a90878243231b91bb1b356da1d4584f9ee4ffaa2cb8a1e
.codex_transfer/fresnel_verify_d8e1732d.bundle,1256,1787718456.83889,ef15ecaf1c893fbbe0c2e607edd318c9b96aff4c992c5d48c01b54e5f00b8236
.codex_transfer/hardware_hash_3b5ddfc4.bundle,712,1787752501.5554535,b5445aebc44eb7d7db75bb66d3da62f1c1194b8bd79371d641e6d4243bd2195f
.codex_transfer/lab_ordered_workflow.bundle,6966,1787914225.6966507,613800f5070304271d8c96f1a2fbcec5d2ba09149385ca13720596ae0d2e7bb0
.codex_transfer/lgvq_handoff_dfd5fb93.bundle,99504,1788484925.630332,6226ff2f0740c248db0229a2aa6494df45b2639a63be6e56c97da796a2ac5d8e
.codex_transfer/local_profile.bundle,2574,1788062968.3496177,de3971411fa2c7b52734fa4769bc24995c870f9e73239e98ae4d2d8df1c83b5f
.codex_transfer/lut_offline_7ec74db7.bundle,4462,1788058924.334178,e9304e25c5a01c9830c8da56cefff6b2551f2789dc19a638c9699c9fb1d60238
.codex_transfer/lut_order_3c76015a.bundle,843,1788059223.1437337,ac8c0e7b58213a4500b7d26a8ed5b6b6c87789cf23b53bdcb9a6db0a20885bcc
.codex_transfer/lut_verify_cb862832.bundle,9020,1788060569.8881977,466c42f8b6ebdafba148b8bf705a3e51c1af1b0af57cff04a2a7b66f56d5b462
.codex_transfer/mnist4_414cab26.bundle,22326,1787716384.237745,7bad3302804586447838ac616d8d89d5347cf6986c0114024fb9782f0109c3f9
.codex_transfer/mnist4_final_2c580b88.bundle,3534,1787718273.0606406,21a3b41daf5d54b9659dae113a341aaa5ca4ed895efa94fd27131cfe6cfbee00
.codex_transfer/mnist4_fix_457d98cd.bundle,1362,1787716580.0470116,16f78334bcbde83a9747a0b8015a1af619f453a3708e5f3f7d8957f2cb1ba8a4
.codex_transfer/mnist4_loss_67693eb4.bundle,2646,1787716892.0084345,b4b23484ae34c8f199a05e0e871a540a193adc62bc055fe2dc2a140df57dfd0f
.codex_transfer/mnist_angle_roi_41c19c49.bundle,2912,1787753606.5037997,db9bebf0bbf7a4df81360d1c3b21c83c67a047f9b2e48fffa3acb771f1866219
.codex_transfer/mnist_ce010_e9cd6ad8.bundle,1741,1787752580.9935892,cdcc792644c23b3d17bb0a152cbf5aee1130507a9019d54cbdaedc8bdae42af1
.codex_transfer/mnist_ce100_f911ff67.bundle,1174,1787753026.0648785,ade3050fce49649f98df43da77408ce48e86382d24cae2dad4bf5c6a686548d8
.codex_transfer/mnist_ce_e5c1fa75.bundle,3003,1787752046.7895558,b4db97b23f37a1ad7e3429fa334095712297b47fe12a743629074e4520c6f2bd
.codex_transfer/mnist_fix_7675a1ed.bundle,6523,1787751067.3847065,099d10d92f77de450b4285d9968bbde07164374bf36a72a38912aea3ae405643
.codex_transfer/mnist_kspace_caddb593.bundle,1728,1787751543.9446318,70dea62b6ed346e05aeec1a05b3059bce0a2369f86695e1855a64a6e58e068b4
.codex_transfer/mnist_masks_1ea599f2.bundle,4115,1787754023.6631007,cf38e6d25c095049553fc0fc008b51f1bd8447db501a269240319ab374a0f45d
.codex_transfer/mnist_qwen_smoke_831b18f7.bundle,10505,1787739048.2525005,c37f32f63ce1109f6a58a688af05cb65cc9cdc315b68c6d33c5b738d6ddaea88
.codex_transfer/mnist_v2_and_result_9a0615db.bundle,31315,1787750052.014046,b0b5de9f1be7f4cf6a3573964279f7d781815d1b2819195e9c7213ce1b5b0c06
.codex_transfer/normal_bundle_record_0c1c8e2c.bundle,1635,1787728606.5099623,f2bce29eb53b9585786111b1c5a2d08dbd257008f3bff789860e2f969b04fd88
.codex_transfer/normal_polarity_355c6213.bundle,14212,1787728409.1083026,98b3ec5a61b287563ecbd77affec5e6ca5f1d6aaea2ebf172d17a2cfb6027a83
.codex_transfer/optical_alignment_c5bfd75f.bundle,11863,1787740241.0034654,cdfb3623ffd2f3da9c89bc7b5b78995cc334908b7cb3beb9dfe839f8d5150f14
.codex_transfer/qwen_lab_639ff7e8.bundle,12215,1787749657.2112117,ffac3da696d345562a1d1281de0507c1ba71d2ff088320a389b5d838af4addaf
.codex_transfer/qwen_offline_a1285524.bundle,24667,1787754411.1619937,0db8371ae1b09944a703a52897922598efeb41cb649859505951d126673d91a8
.codex_transfer/qwen_optical_handoff_60285962.bundle,22877,1788074980.7494185,3cd8f344136d8100e527c3014a0f92e846238a7d58e04061e8c2b03dd5842eb8
.codex_transfer/qwen_warm_bundle_0623866b.bundle,22864,1787754613.9991136,881b828ce6733be40a27ebfada871b038c1c9ad3bd6f9a3d384fa581e15838ff
.codex_transfer/remote_main_55e15ce.bundle,9052,1788060702.4595203,4a03f2d9ccd6c2a2ddc06a060674977a31ad433b5d6ddb5608ff53055b453864
.codex_transfer/remote_main_61f197f.bundle,5082,1788059467.7575784,f182801a20e97ce453eee8cc414f6307dfb5917a5e07b1997d2ea374b9795dd6
.codex_transfer/server-main-after-local-finetune.bundle,169243620,1788012428.0377166,e3c7642bb4445c59d690ed6842bab54400a5b7f8465d82842dcea38732f8eee7
.codex_transfer/server-main-incremental.bundle,2467,1788012457.3893185,f0dd3992ba9622a2b839d0d4da86f41a85ad57b9a9f018aa6fd9d49d714333fb
.codex_transfer/server_82797f6.bundle,13011,1787918617.8371723,2cd51260a58743fa575a76edd709cc32e127a11d9920d21b11bae12effcbd8f4
.codex_transfer/warmstart5_5e596544.bundle,15421,1787750184.7200687,fab65e3a40db6745164cf8f6c98c712c73467e426b93c787c827afdf2e02c050
.git/cc3m-data-prep.bundle,8953,1785063886.103388,561b64112cd9fcfaeec58358b44caa86bf3c016f796b017e255b5bfb90ef7439
.git/cc3m-test-fix.bundle,680,1785063968.75957,dc57103afbc44325fc01e6e973f2c437986904212b4e33f6d6b0fbbda8a03bfb
archive/git_snapshots_20260904/mechanism_7b5b2e78.bundle,19381,1788196756.8075964,eafd9933452c49b00d46916d20483abc45b2030bd15925f475210d1c4b438aba
archive/git_snapshots_20260904/mechanism_pilot_9339e2e3.bundle,1350,1788201382.1743016,7dd80a7b89ed5060785f449e46c1409a546c88618bc81a52f7cd7b9b38d5a71d
archive/git_snapshots_20260904/mechanism_root_35233da6.bundle,2502,1788199458.6573055,7008d891f95df462877f3a925444afcee9c7557a807a6899fcafc19ddc90ebdf
archive/git_snapshots_20260904/p12_isic_retry_cf22.bundle,2502,1788206837.3156667,849708579241fe2dea1cb80df99f5737d18767c4cabb60d495613a8d73848e3a
archive/git_snapshots_20260904/p12_phase_abs5e4_1ff.bundle,5849,1788208373.752462,544db38daf9ab60d043d4d35deb3632be2a19baaee7017532786e3d88ddf599c
archive/git_snapshots_20260904/p12_phase_audit_fix_173.bundle,5092,1788204802.1220589,d6202962c974f31c08317c85615bd4ad894c399730e02e7c734a440cfe91a39e
