relative_path,kind,file_count,bytes,gib
.gitignore,file,1,2949,0.000003
.vscode,directory,1,132,0.000000
archive,directory,153,157927112,0.147081
data,directory,4343015,717979605721,668.670615
document,directory,1289,260340717,0.242461
experiments,directory,143217,255508664850,237.960988
experiments/__init__.py,file,1,38,0.000000
experiments/__pycache__,directory,3,599,0.000001
experiments/d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400,directory,135,6096216550,5.677544
experiments/d2nn_cifar100c10_fixed_feedback_20stage400,directory,235,8193398083,7.630697
experiments/d2nn_cifar10_high_performance_optical_backbone,directory,1141,8323581017,7.751939
experiments/d2nn_mnist4_single_layer_17um,directory,167,180014723,0.167652
experiments/d2nn_mnist4_single_layer_17um_10cm,directory,542,547959750,0.510327
experiments/d2nn_mnist4_single_layer_17um_10cm_v2,directory,5329,2632959696,2.452135
experiments/EMBEDDING_EXPERIMENTS_PROGRESS_REPORT.md,file,1,8124,0.000008
experiments/EMBEDDING_OPTICAL_PHASE_AUDIT.md,file,1,4310,0.000004
experiments/grocery10_d2nn2_classification_baseline,directory,537,743286373,0.692239
experiments/grocery10_electronic_classification_baselines,directory,126,780902301,0.727272
experiments/grocery10_electronic_retrieval_baselines,directory,132,788014412,0.733896
experiments/hardware_sdk,directory,1005,1340272622,1.248226
experiments/lab_lgvq,directory,55,92956959,0.086573
experiments/lab_qwen,directory,71,41744972,0.038878
experiments/lgvq_four_stage_optical_electronic_109_no_attention_vqa,directory,1056,6687505252,6.228225
experiments/optical_mlp_mixer_moe9_imagenet1k_clip_distill,directory,3676,28260927052,26.320039
experiments/P09_P10_P11_IMAGENET_BACKBONE_COMPARISON_2026-08-29.md,file,1,7997,0.000007
experiments/qwen3_vl_2b_bdd100k_timeofday3_optical_fullstack4_token64_residual,directory,342,102611992,0.095565
experiments/qwen3_vl_2b_cc3m_general_distillation_pca224_moe16,directory,52,542475,0.000505
experiments/qwen3_vl_2b_cifar10_vision_homogeneous_moe9,directory,9049,6043433488,5.628386
experiments/qwen3_vl_2b_flickr30k_image_text_matching_multimodal_homogeneous_moe9,directory,221,335859521,0.312794
experiments/qwen3_vl_2b_kadid10k_mos_multimodal_electronic_router_moe16_224,directory,434,17421307874,16.224857
experiments/qwen3_vl_2b_lgvq_linear_baseline,directory,8,97031,0.000090
experiments/qwen3_vl_2b_lgvq_o2_109_highalpha_vqa,directory,111,9463284136,8.813370
experiments/qwen3_vl_2b_lgvq_single_metric_o2_16frame_54,directory,2528,58103764077,54.113347
experiments/qwen3_vl_2b_lgvq_spatiotemporal_optical_router_vqa,directory,29,52195309,0.048611
experiments/qwen3_vl_2b_lgvq_temporal_framecount_timing,directory,93,2655383,0.002473
experiments/qwen3_vl_2b_openmoji_instruction_four_stage_optical_editing,directory,24632,985202577,0.917541
experiments/qwen3_vl_2b_spaq_single_attribute_multimodal_electronic_router_moe16_224,directory,686,12637978498,11.770035
experiments/qwen3_vl_2b_synthetic_instruction_four_stage_optical_editing,directory,262,642389435,0.598272
experiments/qwen3_vl_embedding_2b_abo_product_retrieval_optical_moe16,directory,175,907376831,0.845061
experiments/qwen3_vl_embedding_2b_awa2_animal10_optical_retrieval,directory,143,561595251,0.523026
experiments/qwen3_vl_embedding_2b_bdd100k_bench2drive_e2e_optical_moe16,directory,100,149087790,0.138849
experiments/qwen3_vl_embedding_2b_caltech101_balanced_optical_fusion_ablation,directory,275,1269847486,1.182638
experiments/qwen3_vl_embedding_2b_caltech101_electronic_retrieval,directory,347,1795699736,1.672376
experiments/qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval,directory,11868,1373213398,1.278905
experiments/qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_ccd_noise1,directory,2330,7457145986,6.945008
experiments/qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_early_robust_tradeoff,directory,7075,9340531034,8.699047
experiments/qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_robust,directory,405,1101974235,1.026293
experiments/qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_warmstart5,directory,922,1002907116,0.934030
experiments/qwen3_vl_embedding_2b_caltech101_four_layer_optical_router_retrieval,directory,747,3214364882,2.993611
experiments/qwen3_vl_embedding_2b_caltech101_language2_optical_retrieval,directory,23134,17845398387,16.619822
experiments/qwen3_vl_embedding_2b_caltech101_multiplane_optical_retrieval,directory,464,2759972950,2.570425
experiments/qwen3_vl_embedding_2b_caltech101_object10_optical_retrieval,directory,627,2121844030,1.976121
experiments/qwen3_vl_embedding_2b_caltech101_robust_hybrid_retrieval,directory,6896,3949485261,3.678245
experiments/qwen3_vl_embedding_2b_cifar10_electronic_retrieval,directory,62,268217908,0.249797
experiments/qwen3_vl_embedding_2b_coco_duts_vision_optical_moe16_pretrain,directory,263,471833545,0.439429
experiments/qwen3_vl_embedding_2b_fss1000_saliency_coco_duts_pretrained_moe16,directory,573,195306741,0.181894
experiments/qwen3_vl_embedding_2b_fss1000_vision_optical_saliency,directory,372,1797210957,1.673783
experiments/qwen3_vl_embedding_2b_grocery10_optical_retrieval,directory,26843,13775738964,12.829657
experiments/qwen3_vl_embedding_2b_grocery10_robust_hybrid_retrieval,directory,94,296714548,0.276337
experiments/qwen3_vl_embedding_2b_grocery10_tokenwise_optical_moe4,directory,392,2734927581,2.547100
experiments/qwen3_vl_embedding_2b_isic2016_skin_lesion_optical_segmentation,directory,5311,2934806789,2.733252
experiments/qwen3_vl_embedding_2b_lsp_pose_optical_moe16,directory,486,2685249314,2.500833
experiments/qwen3_vl_embedding_2b_lsp_pose_optical_router,directory,157,42487162,0.039569
experiments/qwen3_vl_embedding_2b_salicon_vision_optical_saliency,directory,110,92998626,0.086612
experiments/qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone,directory,62,1090811577,1.015897
experiments/qwen3_vl_patch_stem_8stage_optical_imagenet_backbone,directory,162,1566105249,1.458549
experiments/qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone,directory,64,1090947009,1.016024
experiments/qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone,directory,63,1113560650,1.037084
experiments/qwen_optical_platform_handoff,directory,20,51142,0.000048
experiments/vision2_hybrid_dense,directory,14,170089,0.000158
FixedFeedbackSFT,directory,1996,757147843,0.705149
FixedFeedbackSFT/ADVISOR_PROGRESS_REPORT_2026-08-24.md,file,1,27273,0.000025
FixedFeedbackSFT/CODE_INDEX.md,file,1,3741,0.000003
FixedFeedbackSFT/commands,directory,3,3972,0.000004
FixedFeedbackSFT/COMMANDS.md,file,1,3638,0.000003
FixedFeedbackSFT/evidence,directory,1981,756765610,0.704793
FixedFeedbackSFT/EXPERIMENTS.md,file,1,6202,0.000006
FixedFeedbackSFT/HANDOFF.md,file,1,8612,0.000008
FixedFeedbackSFT/literature,directory,1,250002,0.000233
FixedFeedbackSFT/METHOD.md,file,1,4403,0.000004
FixedFeedbackSFT/NEXT_STEPS.md,file,1,4045,0.000004
FixedFeedbackSFT/PROJECT_BRIEF_FOR_GPT56_PRO.md,file,1,31915,0.000030
FixedFeedbackSFT/README.md,file,1,8653,0.000008
FixedFeedbackSFT/RESEARCH_PLAN.md,file,1,16587,0.000015
FixedFeedbackSFT/RUN_REGISTRY.md,file,1,13190,0.000012
FixedFeedbackSFT/runs,directory,0,0,0.000000
maintenance,directory,12,930438,0.000867
opticalmoe,directory,23921,3451596147,3.214549
opticalmoe/.pytest_cache,directory,6,29804,0.000028
opticalmoe/__pycache__,directory,1,5510,0.000005
opticalmoe/configs,directory,23,58819,0.000055
opticalmoe/d2nn_baseline_mnist256,directory,17,146139,0.000136
opticalmoe/d2nn_cifar10_4class_heterogeneous_moe9_deep_linear,directory,2068,387878472,0.361240
opticalmoe/d2nn_cifar10_4class_heterogeneous_moe9_deep_nonlinear,directory,20190,2614952281,2.435364
opticalmoe/d2nn_cifar10_4class_heterogeneous_moe9_linear,directory,1475,424399722,0.395253
opticalmoe/FOUR_EXPERT_MOE_TRAINING_NOTES.md,file,1,13145,0.000012
opticalmoe/FOUR_EXPERT_PROMPT_ARCHITECTURE.md,file,1,12386,0.000012
opticalmoe/LINUX_SERVER_SETUP.md,file,1,10542,0.000010
opticalmoe/MULTITASK_AND_CONTROL_EXPERIMENTS.md,file,1,7039,0.000007
opticalmoe/notebooks,directory,5,22359846,0.020824
opticalmoe/OPTICAL_MOE_USAGE.md,file,1,7319,0.000007
opticalmoe/pyproject.toml,file,1,451,0.000000
opticalmoe/README.md,file,1,6402,0.000006
opticalmoe/requirements-linux.txt,file,1,190,0.000000
opticalmoe/scripts,directory,18,776905,0.000724
opticalmoe/slm_bmp.py,file,1,2717,0.000003
opticalmoe/src,directory,84,626108,0.000583
opticalmoe/tests,directory,24,296487,0.000276
opticalmoe/weekly_progress_opticalmoe_2026-06-02.md,file,1,5863,0.000005
opticalmoe_experiments,directory,61267,1633150169,1.520990
opticalmoe_experiments/common,directory,84,538594,0.000502
opticalmoe_experiments/data,directory,60009,492372075,0.458557
opticalmoe_experiments/dataset_switching,directory,34,260953,0.000243
opticalmoe_experiments/expert_task_ablation,directory,1,135,0.000000
opticalmoe_experiments/foundation_distillation,directory,882,1138581686,1.060387
opticalmoe_experiments/prompt_ablation,directory,1,196,0.000000
opticalmoe_experiments/README.md,file,1,5795,0.000005
opticalmoe_experiments/same_input_multitask,directory,30,192062,0.000179
opticalmoe_experiments/scripts,directory,2,6531,0.000006
opticalmoe_experiments/single_task,directory,56,246397,0.000229
opticalmoe_experiments/tests,directory,141,749159,0.000698
opticalmoe_experiments/transfer_adaptation,directory,26,196586,0.000183
