relative_path,bytes,modified_utc,sha256
.codex_transfer/0001-Add-Fresnel-array-calibration-patterns.patch,27385,1787705904.2439985,83aa821b6b330ab07c90b4ad69cda94feb986559a64acfdcb522497b71482ac4
.codex_transfer/0001-Validate-sequential-hardware-checkpoint-chain.patch,5696,1788012224.8525732,f7beec13cb765f144c3ab8b27e989f28cc6fa76ad43b2428f6342533363cff0c
.codex_transfer/0001-fix-simplify-qwen-lab-geometry-setup.patch,61108,1787918380.2646434,e1fae10d10b4bd3a49a3902c66d74ecc2f1d096858671f46393305822f166a4a
.codex_transfer/caltech_local_fix.bundle,5404,1788019538.247942,150420c128c5ef455856fbd2c36a72c4acb8475420ceada85f6f3180bda9749c
.codex_transfer/caltech_remote_fix.bundle,5435,1788020069.3192368,74e590fec398dc2b684479624a28e0e3e0151b7f04c706dafae386e746e0e9b9
.codex_transfer/early_followup.bundle,4576,1788062606.1318724,0fc82e0699e6ea9b22e70ca3dba7387683dedefb1a424c1682fc3cff9827e22b
.codex_transfer/export_lgvq_teacher_predictions.py,2669,1788363122.58075,96c5c8ea5144177e2756ffa712246fd8f92f2598c400815bba8f09b1324aba5b
.codex_transfer/fresnel_array_c07e1b9f.bundle,10668,1787705940.831605,a3c8c7de8bd94400e7b19ec406784f5df14cd5514869ab93a574efcd8b018862
.codex_transfer/fresnel_docs_HEAD.bundle,1099,1787740724.1766036,26429b32cb66fd3896a90878243231b91bb1b356da1d4584f9ee4ffaa2cb8a1e
.codex_transfer/fresnel_verify_d8e1732d.bundle,1256,1787718456.83889,ef15ecaf1c893fbbe0c2e607edd318c9b96aff4c992c5d48c01b54e5f00b8236
.codex_transfer/hardware_hash_3b5ddfc4.bundle,712,1787752501.5554535,b5445aebc44eb7d7db75bb66d3da62f1c1194b8bd79371d641e6d4243bd2195f
.codex_transfer/lab_ordered_workflow.bundle,6966,1787914225.6966507,613800f5070304271d8c96f1a2fbcec5d2ba09149385ca13720596ae0d2e7bb0
.codex_transfer/lgvq_corr_configs.tgz,305,1788367362.9433622,694e9783edcb223ca57da115a3695079c01158173d67c620ffaa2a88da36611c
.codex_transfer/lgvq_deploy_source_20260903.tgz,10388456,1788374633.7799666,51a3502884a9f0d5a6822a5cbd2fca766f5127c6436331be31f93d25f87ebeae
.codex_transfer/lgvq_final_source_20260903.tgz,10892631,1788376632.9972456,61ffe514e777117e54bb40a74acfceaca152f995a7b0e919e4cf8d5246879a8e
.codex_transfer/lgvq_handoff_dfd5fb93.bundle,99504,1788484925.630332,6226ff2f0740c248db0229a2aa6494df45b2639a63be6e56c97da796a2ac5d8e
.codex_transfer/lgvq_kd_configs.tgz,295,1788364094.5145168,4dfe65d7c4027700701cbc767444c3ea658cc18ab6e8dd3988c0bbafbac6a6bf
.codex_transfer/lgvq_no_attention_spatial2_source.tar.gz,40973,1788369634.918682,0c3c2b5881c0ccdde78ba3a3f3bbbd4b17abe40f4588557d7420840182e27eed
.codex_transfer/lgvq_no_attention_v3_source.tar.gz,38895,1788368211.3256047,cb58da9129a7db66b432329a1d8527b1e59f1db80ca6725e823eabe67c648a58
.codex_transfer/lgvq_no_attention_v4stats_source.tar.gz,39878,1788369144.3527942,284514c3d33938338518ff5e3223837f47d99f2c78c354ce461bced293d36395
.codex_transfer/lgvq_strict_update.tgz,31780,1788363982.841074,e67254ffdbca11d52156165ec2829d69da4a8c5b6cce7d227d817da29a9bd094
.codex_transfer/lgvq_strict_v2.tgz,34708,1788365422.502583,6388d4bd95b6baee86b5d71d7e9375295336a4e38cd376edd28c47f28e6144ed
.codex_transfer/lgvq_strict_v3.tgz,35439,1788366703.1674008,1c523e288f28510da5ca65172e49a21429912a62fbe700bedb4955005fb4d9f7
.codex_transfer/local_profile.bundle,2574,1788062968.3496177,de3971411fa2c7b52734fa4769bc24995c870f9e73239e98ae4d2d8df1c83b5f
.codex_transfer/lut_offline_7ec74db7.bundle,4462,1788058924.334178,e9304e25c5a01c9830c8da56cefff6b2551f2789dc19a638c9699c9fb1d60238
.codex_transfer/lut_order_3c76015a.bundle,843,1788059223.1437337,ac8c0e7b58213a4500b7d26a8ed5b6b6c87789cf23b53bdcb9a6db0a20885bcc
.codex_transfer/lut_verify_cb862832.bundle,9020,1788060569.8881977,466c42f8b6ebdafba148b8bf705a3e51c1af1b0af57cff04a2a7b66f56d5b462
.codex_transfer/mnist4_414cab26.bundle,22326,1787716384.237745,7bad3302804586447838ac616d8d89d5347cf6986c0114024fb9782f0109c3f9
.codex_transfer/mnist4_final_2c580b88.bundle,3534,1787718273.0606406,21a3b41daf5d54b9659dae113a341aaa5ca4ed895efa94fd27131cfe6cfbee00
.codex_transfer/mnist4_fix_457d98cd.bundle,1362,1787716580.0470116,16f78334bcbde83a9747a0b8015a1af619f453a3708e5f3f7d8957f2cb1ba8a4
.codex_transfer/mnist4_loss_67693eb4.bundle,2646,1787716892.0084345,b4b23484ae34c8f199a05e0e871a540a193adc62bc055fe2dc2a140df57dfd0f
.codex_transfer/mnist_angle_roi_41c19c49.bundle,2912,1787753606.5037997,db9bebf0bbf7a4df81360d1c3b21c83c67a047f9b2e48fffa3acb771f1866219
.codex_transfer/mnist_ce010_e9cd6ad8.bundle,1741,1787752580.9935892,cdcc792644c23b3d17bb0a152cbf5aee1130507a9019d54cbdaedc8bdae42af1
.codex_transfer/mnist_ce100_f911ff67.bundle,1174,1787753026.0648785,ade3050fce49649f98df43da77408ce48e86382d24cae2dad4bf5c6a686548d8
.codex_transfer/mnist_ce_e5c1fa75.bundle,3003,1787752046.7895558,b4db97b23f37a1ad7e3429fa334095712297b47fe12a743629074e4520c6f2bd
.codex_transfer/mnist_fix_7675a1ed.bundle,6523,1787751067.3847065,099d10d92f77de450b4285d9968bbde07164374bf36a72a38912aea3ae405643
.codex_transfer/mnist_kspace_caddb593.bundle,1728,1787751543.9446318,70dea62b6ed346e05aeec1a05b3059bce0a2369f86695e1855a64a6e58e068b4
.codex_transfer/mnist_masks_1ea599f2.bundle,4115,1787754023.6631007,cf38e6d25c095049553fc0fc008b51f1bd8447db501a269240319ab374a0f45d
.codex_transfer/mnist_qwen_smoke_831b18f7.bundle,10505,1787739048.2525005,c37f32f63ce1109f6a58a688af05cb65cc9cdc315b68c6d33c5b738d6ddaea88
.codex_transfer/mnist_require_robust_update.tar,50176,1788080120.6647763,b6fae00ed80036438970ecb00078d45c750bc3b647d72a3f7e30ef7f1018c0fb
.codex_transfer/mnist_robust_paths_fix.tar,9728,1788079581.9067206,aba357aab8415d168f4638db6fd0cc9764556963dec95f93f5a9bd017376e5c0
.codex_transfer/mnist_robust_selection_fix.tar,49152,1788079527.123418,fb7b2f6b5b30effabd2db47731563e845c3e84eaa5310a9eb07747e67e158492
.codex_transfer/mnist_v2_and_result_9a0615db.bundle,31315,1787750052.014046,b0b5de9f1be7f4cf6a3573964279f7d781815d1b2819195e9c7213ce1b5b0c06
.codex_transfer/multiplane_28epoch_schedule.tar.gz,4281,1787743363.3365219,b239476be5b49fb7be4c069822783239cc8715020b1c16c5da72f38907ed53a8
.codex_transfer/multiplane_partial_schedule.tar.gz,79054,1787742476.8263083,7e80e6e057ec04c7510646476041d261cc2ca5c8d790c9402a67fac33be1301b
.codex_transfer/multiplane_update.tgz,85417,1787761576.1738398,7e5b952ca766adca68a136c5e4cf2686b29582846a1d957cd6f718cde2e93e9a
