source_family,project,physical_source_root,python_module,tracked_file_count,source_tree_sha256,default_artifact_root,source_sync_contract,artifact_sync_contract
fixed_feedback,d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400,FixedFeedbackSFT/projects/d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400,experiments.d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400,15,28a9e419553a8a52d331a125329226d5c086f56b6567d99780c1efabe4e20718,FixedFeedbackSFT/runs/d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400,GitHub main -> local and server,server authoritative; manifest/checksum only
fixed_feedback,d2nn_cifar100c10_fixed_feedback_20stage400,FixedFeedbackSFT/projects/d2nn_cifar100c10_fixed_feedback_20stage400,experiments.d2nn_cifar100c10_fixed_feedback_20stage400,23,e65e426a91f4a9d7c3f6dd44ee39f70f1f91d282bb7dc4599d8db40a4ac263ea,FixedFeedbackSFT/runs/d2nn_cifar100c10_fixed_feedback_20stage400,GitHub main -> local and server,server authoritative; manifest/checksum only
fixed_feedback,d2nn_cifar10_high_performance_optical_backbone,FixedFeedbackSFT/projects/d2nn_cifar10_high_performance_optical_backbone,experiments.d2nn_cifar10_high_performance_optical_backbone,178,fb992603c173419381355886adf6100462d9ab15a625b2c720c1a266bc2cd407,FixedFeedbackSFT/runs/d2nn_cifar10_high_performance_optical_backbone,GitHub main -> local and server,server authoritative; manifest/checksum only
fixed_feedback,qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone,FixedFeedbackSFT/projects/qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone,experiments.qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone,17,4cb151d16c248baf4070d46a2bcebae46dea8139024ef70a9e522da1a33aeb7d,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_dual_scale_optical_imagenet_backbone,GitHub main -> local and server,server authoritative; manifest/checksum only
fixed_feedback,qwen3_vl_patch_stem_8stage_optical_imagenet_backbone,FixedFeedbackSFT/projects/qwen3_vl_patch_stem_8stage_optical_imagenet_backbone,experiments.qwen3_vl_patch_stem_8stage_optical_imagenet_backbone,28,9460ff4763f0cadd81e98bfb4f9d820eeb428a96722816d5d5869b6d6f17a623,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_optical_imagenet_backbone,GitHub main -> local and server,server authoritative; manifest/checksum only
fixed_feedback,qwen3_vl_patch_stem_8stage_separable_optical_downstream_fa,FixedFeedbackSFT/projects/qwen3_vl_patch_stem_8stage_separable_optical_downstream_fa,experiments.qwen3_vl_patch_stem_8stage_separable_optical_downstream_fa,40,c02ba8777e7ae63a2e67ae12ccf1bfa20eed285f46e26456b57b23fabd99849a,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_separable_optical_downstream_fa,GitHub main -> local and server,server authoritative; manifest/checksum only
fixed_feedback,qwen3_vl_patch_stem_8stage_separable_optical_imagenet22k_backbone,FixedFeedbackSFT/projects/qwen3_vl_patch_stem_8stage_separable_optical_imagenet22k_backbone,experiments.qwen3_vl_patch_stem_8stage_separable_optical_imagenet22k_backbone,19,bec5af84a5b09f7b154c7b98fa27a2a10439908e113700bb53db311861c0848f,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_separable_optical_imagenet22k_backbone,GitHub main -> local and server,server authoritative; manifest/checksum only
fixed_feedback,qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone,FixedFeedbackSFT/projects/qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone,experiments.qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone,37,d18319cbddb368b60546fa4fdbbba2294416cc52ab3faeed41a1c19c6443d161,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_separable_optical_imagenet_backbone,GitHub main -> local and server,server authoritative; manifest/checksum only
fixed_feedback,qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone,FixedFeedbackSFT/projects/qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone,experiments.qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone,19,4c8e241fcd948325b3bd88e5023e68b3d92f17ec94ff277a133e683174d80fba,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_8stage_slim_mixer_imagenet_backbone,GitHub main -> local and server,server authoritative; manifest/checksum only
fixed_feedback,qwen3_vl_patch_stem_progressive_64stage_optical_imagenet_backbone,FixedFeedbackSFT/projects/qwen3_vl_patch_stem_progressive_64stage_optical_imagenet_backbone,experiments.qwen3_vl_patch_stem_progressive_64stage_optical_imagenet_backbone,51,a7f1ddc03aa798a92049b2c5d392a06632dd7693c81e197c68029e87e746c84e,FixedFeedbackSFT/runs/qwen3_vl_patch_stem_progressive_64stage_optical_imagenet_backbone,GitHub main -> local and server,server authoritative; manifest/checksum only
general_experiment,d2nn_mnist4_single_layer_17um_10cm_v2,experiments/d2nn_mnist4_single_layer_17um_10cm_v2,experiments.d2nn_mnist4_single_layer_17um_10cm_v2,45,96c752023897b6198034c4427eb648ad63ea0df73394cb14dfbbfcc6d505c5da,experiments/d2nn_mnist4_single_layer_17um_10cm_v2/runs,GitHub main -> local and server,server authoritative; manifest/checksum only
