relative_path,kind,file_count,bytes,gib,modified_utc
.gitignore,file,1,4367,0.000004,1788542604.9007735
.vscode,directory,1,132,0.000000,1782896161.0154228
archive,directory,157,339443288,0.316131,1788542356.1246831
data,directory,3845700,701180794723,653.025503,1788543004.6515877
document,directory,1297,260653993,0.242753,1788542275.61244
experiments,directory,138866,216111596215,201.269608,1788542745.2084994
experiments/__init__.py,file,1,563,0.000001,1788542356.1246831
experiments/__pycache__,directory,3,599,0.000001,1784194607.631868
experiments/d2nn_cifar100_cifar10_fixed_feedback_contrastive_20stage400,directory,93,3306560750,3.079475,1788542275.1604383
experiments/d2nn_cifar100c10_fixed_feedback_20stage400,directory,167,3535286214,3.292492,1788542275.2044387
experiments/d2nn_cifar10_high_performance_optical_backbone,directory,756,2747194304,2.558524,1788542275.4564395
experiments/d2nn_mnist4_single_layer_17um,directory,167,180014723,0.167652,1787728613.1778865
experiments/d2nn_mnist4_single_layer_17um_10cm,directory,542,547959750,0.510327,1787743922.4261475
experiments/d2nn_mnist4_single_layer_17um_10cm_v2,directory,5329,2632959696,2.452135,1788542356.1246831
experiments/EMBEDDING_EXPERIMENTS_PROGRESS_REPORT.md,file,1,8124,0.000008,1785401816.2655609
experiments/EMBEDDING_OPTICAL_PHASE_AUDIT.md,file,1,4310,0.000004,1785673414.0477028
experiments/grocery10_d2nn2_classification_baseline,directory,537,743286373,0.692239,1785204516.8423867
experiments/grocery10_electronic_classification_baselines,directory,126,780902301,0.727272,1785204612.3017054
experiments/grocery10_electronic_retrieval_baselines,directory,132,788014412,0.733896,1785169174.0397398
experiments/hardware_sdk,directory,1005,1340272622,1.248226,1788059053.757152
experiments/lab_lgvq,directory,55,92956959,0.086573,1788542356.128683
experiments/lab_qwen,directory,73,41749422,0.038882,1788542356.128683
experiments/lgvq_four_stage_optical_electronic_109_no_attention_vqa,directory,1056,6687505165,6.228225,1788542356.132683
experiments/optical_mlp_mixer_moe9_imagenet1k_clip_distill,directory,91,6083599410,5.665793,1787282491.419519
experiments/qwen3_vl_2b_bdd100k_timeofday3_optical_fullstack4_token64_residual,directory,342,102611992,0.095565,1783585212.4976733
experiments/qwen3_vl_2b_cc3m_general_distillation_pca224_moe16,directory,52,542475,0.000505,1785318029.6291308
experiments/qwen3_vl_2b_cifar10_vision_homogeneous_moe9,directory,9049,6043433488,5.628386,1784256073.2477932
experiments/qwen3_vl_2b_flickr30k_image_text_matching_multimodal_homogeneous_moe9,directory,221,335859521,0.312794,1784734697.266791
experiments/qwen3_vl_2b_kadid10k_mos_multimodal_electronic_router_moe16_224,directory,434,17421307874,16.224857,1785301663.1271012
experiments/qwen3_vl_2b_lgvq_linear_baseline,directory,9,124215,0.000116,1788542356.132683
experiments/qwen3_vl_2b_lgvq_o2_109_highalpha_vqa,directory,111,9463284136,8.813370,1788542356.132683
experiments/qwen3_vl_2b_lgvq_single_metric_o2_16frame_54,directory,2526,58103749321,54.113333,1788542356.1406832
experiments/qwen3_vl_2b_lgvq_spatiotemporal_optical_router_vqa,directory,29,52195309,0.048611,1788352165.9933796
experiments/qwen3_vl_2b_lgvq_temporal_framecount_timing,directory,93,2648455,0.002467,1788542356.1566832
experiments/qwen3_vl_2b_openmoji_instruction_four_stage_optical_editing,directory,24632,985202576,0.917541,1788542356.1566832
experiments/qwen3_vl_2b_spaq_single_attribute_multimodal_electronic_router_moe16_224,directory,686,12637978498,11.770035,1785075813.5447097
experiments/qwen3_vl_2b_synthetic_instruction_four_stage_optical_editing,directory,262,642389435,0.598272,1788542356.1566832
experiments/qwen3_vl_embedding_2b_abo_product_retrieval_optical_moe16,directory,175,907376831,0.845061,1785417504.980759
experiments/qwen3_vl_embedding_2b_awa2_animal10_optical_retrieval,directory,143,561595251,0.523026,1786448231.1550522
experiments/qwen3_vl_embedding_2b_bdd100k_bench2drive_e2e_optical_moe16,directory,100,149087790,0.138849,1785659219.0574224
experiments/qwen3_vl_embedding_2b_caltech101_balanced_optical_fusion_ablation,directory,275,1269845605,1.182636,1788542356.1566832
experiments/qwen3_vl_embedding_2b_caltech101_electronic_retrieval,directory,347,1795699736,1.672376,1786871481.6610334
experiments/qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval,directory,11868,1373213398,1.278905,1787325306.1890833
experiments/qwen3_vl_embedding_2b_caltech101_four_layer_optical_retrieval_10cm_ccd_noise1,directory,2330,7457145986,6.945008,1787989993.0184538
